Date ;0.08-Yrs ;0.25-Yrs ;0.50-Yrs ;1.00-Yrs ;2.00-Yrs ;3.00-Yrs ;4.00-Yrs ;5.00-Yrs ;6.00-Yrs ;7.00-Yrs ;8.00-Yrs ;9.00-Yrs ;10.00-Yrs ;11.00-Yrs ;12.00-Yrs ;13.00-Yrs ;14.00-Yrs ;15.00-Yrs ;16.00-Yrs ;17.00-Yrs ;18.00-Yrs ;19.00-Yrs ;20.00-Yrs ;21.00-Yrs ;22.00-Yrs ;23.00-Yrs ;24.00-Yrs ;25.00-Yrs ;26.00-Yrs ;27.00-Yrs ;28.00-Yrs ;29.00-Yrs ;30.00-Yrs ;31.00-Yrs ;32.00-Yrs ;33.00-Yrs ;34.00-Yrs ;35.00-Yrs ;36.00-Yrs ;37.00-Yrs ;38.00-Yrs ;39.00-Yrs ;40.00-Yrs ;41.00-Yrs ;42.00-Yrs ;43.00-Yrs ;44.00-Yrs ;45.00-Yrs ;46.00-Yrs ;47.00-Yrs ;48.00-Yrs ;49.00-Yrs ;50.00-Yrs
2025-07-29;1.404478;1.408248;1.406218;1.395425;1.301736;1.304697;1.316159;1.332850;1.372889;1.445624;1.472177;1.502226;1.518569;1.568552;1.654773;1.722603;1.739798;1.762943;1.837286;1.914358;2.006033;2.021290;2.037309;2.059228;2.073516;2.087805;2.101101;2.105330;2.109559;2.114535;2.126556;2.138576;2.151317;2.170843;2.190370;2.209896;2.229422;2.248949;2.266765;2.267371;2.267978;2.268585;2.269191;2.269744;2.269170;2.262690;2.256211;2.249732;2.243253;;;;
2025-07-25;1.403037;1.403403;1.402854;1.391584;1.286583;1.289950;1.298858;1.315420;1.358407;1.430967;1.449903;1.477045;1.492933;1.538930;1.618855;1.692121;1.702080;1.718821;1.801594;1.886800;1.986460;1.996169;2.009070;2.051462;2.067495;2.083529;2.098515;2.102605;2.106696;2.111409;2.122834;2.134259;2.146420;2.166514;2.186608;2.206702;2.226796;2.246890;2.265440;2.266103;2.266766;2.267430;2.268093;2.268700;2.268134;2.261565;2.254996;2.248427;2.241858;;;;
2025-07-24;1.404580;1.406959;1.408109;1.396885;1.291598;1.294229;1.298738;1.314602;1.358263;1.429813;1.451553;1.478086;1.492376;1.542480;1.618103;1.691229;1.699119;1.713940;1.798479;1.885567;1.988900;1.997626;2.009052;2.046447;2.061690;2.076932;2.091334;2.096686;2.102037;2.107977;2.120487;2.132998;2.146159;2.166580;2.187000;2.207421;2.227842;2.248262;2.267168;2.267835;2.268502;2.269169;2.269836;2.270446;2.269923;2.264223;2.258524;2.252824;2.247124;;;;
2025-07-23;1.407538;1.411138;1.412907;1.402386;1.297019;1.297100;1.302050;1.317267;1.359054;1.426146;1.452298;1.476087;1.499034;1.553999;1.622688;1.694996;1.701099;1.714086;1.798714;1.886153;1.993177;1.999496;2.009903;2.060703;2.072086;2.083470;2.094413;2.100436;2.106460;2.112887;2.123994;2.135101;2.147051;2.168770;2.190489;2.212209;2.233928;2.255647;2.275812;2.276516;2.277219;2.277923;2.278626;2.279245;2.278326;2.271842;2.265359;2.258875;2.252391;;;;
2025-07-22;1.411479;1.415576;1.415680;1.407462;1.301029;1.300204;1.303892;1.304892;1.356432;1.426234;1.452311;1.477033;1.500404;1.560238;1.635216;1.695484;1.697842;1.707359;1.794007;1.883938;1.999601;2.011251;2.025827;2.069983;2.079748;2.089513;2.099041;2.105830;2.112620;2.119522;2.127782;2.136041;2.145418;2.168251;2.191084;2.213917;2.236750;2.259584;2.280845;2.281612;2.282379;2.283146;2.283913;2.284545;2.282925;2.275740;2.268555;2.261371;2.254186;;;;
2025-07-21;1.426813;1.431215;1.431048;1.424162;1.342643;1.346037;1.350124;1.355842;1.398004;1.464094;1.499711;1.520216;1.530767;1.586142;1.661992;1.704985;1.715711;1.732299;1.814350;1.901484;2.034265;2.042892;2.053505;2.085248;2.095142;2.105036;2.114666;2.121106;2.127546;2.133983;2.140370;2.146757;2.154419;2.178031;2.201642;2.225254;2.248866;2.272478;2.294599;2.296452;2.298305;2.300158;2.302011;2.303416;2.298499;2.294037;2.289575;2.285113;2.280651;;;;
2025-07-18;1.429301;1.432659;1.433805;1.426502;1.350467;1.353944;1.358474;1.363784;1.409518;1.466051;1.502568;1.519858;1.530846;1.585599;1.661528;1.707390;1.716822;1.731893;1.817572;1.906738;2.030492;2.040894;2.053020;2.085826;2.095282;2.104737;2.113957;2.119967;2.125977;2.132041;2.138860;2.145679;2.153672;2.178350;2.203027;2.227705;2.252382;2.277060;2.300448;2.303731;2.307015;2.310298;2.313581;2.316817;2.318673;2.310679;2.302685;2.294691;2.286697;;;;
2025-07-17;1.432769;1.435452;1.438212;1.433080;1.361515;1.364926;1.375343;1.386379;1.429351;1.473319;1.510170;1.532692;1.543848;1.592368;1.669022;1.708592;1.719595;1.735955;1.822159;1.911469;2.032676;2.041645;2.052286;2.084002;2.093172;2.102341;2.111377;2.118512;2.125648;2.132798;2.140168;2.147539;2.155953;2.179901;2.203848;2.227796;2.251743;2.275690;2.298568;2.303930;2.309291;2.314652;2.320014;2.325142;2.325648;2.315635;2.305621;2.295608;2.285594;;;;
2025-07-16;1.437440;1.442141;1.442496;1.437294;1.367917;1.369687;1.376219;1.391825;1.430620;1.468819;1.494087;1.511804;1.530861;1.583742;1.657664;1.696824;1.702495;1.713689;1.799989;1.889029;2.007488;2.019472;2.033608;2.075997;2.085590;2.095182;2.104521;2.110094;2.115667;2.121568;2.132573;2.143577;2.155313;2.178438;2.201563;2.224688;2.247813;2.270938;2.293178;2.300162;2.307145;2.314128;2.321111;2.327733;2.327203;2.316253;2.305303;2.294353;2.283402;;;;
2025-07-15;1.442336;1.446623;1.446246;1.440836;1.368765;1.374084;1.386773;1.401167;1.436185;1.483119;1.501417;1.520570;1.532599;1.584493;1.660000;1.698006;1.701335;1.710723;1.806205;1.903456;2.018295;2.026154;2.036403;2.079914;2.089646;2.099378;2.108799;2.113358;2.117917;2.122896;2.134751;2.146605;2.159444;2.188409;2.217373;2.246338;2.275303;2.304267;2.331910;2.335479;2.339048;2.342618;2.346187;2.349599;2.349527;2.340739;2.331952;2.323164;2.314376;;;;
