Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2021-10-21;2,030;0;1,229;2,491,420;2,040;2,040;2,020;145,906;145,906
2021-10-20;2,030;0;6,641;13,386,830;2,030;2,030;2,010;145,906;145,906
2021-10-19;2,030;10;5,330;10,797,380;2,040;2,040;2,020;145,906;145,906
2021-10-18;2,040;0;2,754;5,573,800;2,030;2,040;2,020;146,625;146,625
2021-10-14;2,040;10;1,434;2,911,410;2,040;2,040;2,030;146,625;146,625
2021-10-13;2,030;0;8,844;17,836,750;2,040;2,040;2,010;145,906;145,906
2021-10-12;2,030;10;3,935;7,990,150;2,040;2,040;2,030;145,906;145,906
2021-10-11;2,040;10;12,544;25,543,380;2,050;2,050;2,020;146,625;146,625
2021-10-08;2,050;0;7,373;15,021,040;2,050;2,050;2,030;147,344;147,344
2021-10-04;2,050;0;3,149;6,415,070;2,050;2,050;2,030;147,344;147,344
2021-10-01;2,050;10;6,815;13,963,850;2,090;2,090;2,040;147,344;147,344
2021-09-30;2,060;10;8,792;18,023,310;2,050;2,070;2,040;148,062;148,062
2021-09-29;2,050;0;9,343;18,992,070;2,050;2,050;2,020;147,344;147,344
2021-09-28;2,050;0;10,314;20,985,560;2,060;2,060;2,030;147,344;147,344
2021-09-27;2,050;10;10,125;20,717,900;2,060;2,060;2,040;147,344;147,344
2021-09-23;2,060;10;2,070;4,272,210;2,070;2,070;2,060;148,062;148,062
2021-09-22;2,070;0;23,407;48,435,110;2,060;2,070;2,060;148,781;148,781
2021-09-21;2,070;10;1,889;3,909,730;2,060;2,080;2,060;148,781;148,781
2021-09-20;2,060;10;6,458;13,272,510;2,100;2,100;2,050;148,062;148,062
2021-09-17;2,050;10;7,523;15,378,820;2,060;2,070;2,040;147,344;147,344
2021-09-16;2,060;0;7,663;15,702,350;2,060;2,070;2,040;148,062;148,062
2021-09-15;2,060;10;3,535;7,252,050;2,080;2,080;2,050;148,062;148,062
2021-09-14;2,050;10;9,793;20,102,310;2,060;2,070;2,050;147,344;147,344
2021-09-13;2,060;0;9,301;19,165,620;2,060;2,080;2,050;148,062;148,062
2021-09-10;2,060;0;1,852;3,823,290;2,090;2,090;2,060;148,062;148,062
2021-09-09;2,060;30;3,501;7,243,760;2,090;2,090;2,060;148,062;148,062
2021-09-08;2,090;10;253;526,130;2,080;2,090;2,070;150,219;150,219
2021-09-07;2,080;20;4,436;9,165,750;2,080;2,080;2,060;149,500;149,500
2021-09-06;2,060;30;7,300;15,090,370;2,090;2,090;2,060;148,062;148,062
2021-09-03;2,090;0;890;1,859,560;2,090;2,090;2,080;150,219;150,219
2021-09-02;2,090;20;2,914;6,056,150;2,090;2,090;2,070;150,219;150,219
2021-09-01;2,070;10;13,607;27,973,670;2,080;2,080;2,050;148,781;148,781
2021-08-31;2,080;10;13,813;28,459,550;2,090;2,090;2,050;149,500;149,500
2021-08-30;2,070;20;48,310;99,769,840;2,100;2,100;2,060;148,781;148,781
2021-08-27;2,090;0;10,112;21,256,080;2,100;2,110;2,080;150,219;150,219
2021-08-26;2,090;10;6,799;14,239,980;2,090;2,120;2,090;150,219;150,219
2021-08-25;2,100;10;5,368;11,278,260;2,090;2,120;2,090;150,938;150,938
2021-08-24;2,090;20;6,089;12,765,850;2,120;2,120;2,090;150,219;150,219
2021-08-23;2,110;10;15,816;33,435,530;2,130;2,130;2,110;151,656;151,656
2021-08-20;2,120;30;39,256;83,061,150;2,100;2,130;2,090;152,375;152,375
2021-08-19;2,090;10;6,216;12,955,350;2,090;2,100;2,060;150,219;150,219
2021-08-18;2,080;20;17,130;35,473,690;2,100;2,100;2,050;149,500;149,500
2021-08-17;2,060;30;17,236;35,588,010;2,100;2,100;2,050;148,062;148,062
2021-08-16;2,090;20;15,293;31,818,040;2,110;2,120;2,070;150,219;150,219
2021-08-13;2,110;20;50,777;107,949,630;2,140;2,160;2,090;151,656;151,656
2021-08-12;2,130;70;58,851;123,454,660;2,060;2,130;2,050;153,094;153,094
2021-08-11;2,060;10;7,962;16,383,320;2,070;2,070;2,050;148,062;148,062
2021-08-10;2,070;0;11,546;23,893,380;2,070;2,080;2,060;148,781;148,781
2021-08-09;2,070;0;4,296;8,901,010;2,070;2,090;2,060;148,781;148,781
2021-08-06;2,070;30;9,230;19,009,600;2,070;2,080;2,050;148,781;148,781
2021-08-05;2,040;30;12,933;26,410,220;2,040;2,050;2,030;146,625;146,625
2021-08-04;2,070;10;28,888;59,368,780;2,100;2,100;2,050;148,781;148,781
2021-08-03;2,080;10;11,102;23,098,550;2,100;2,100;2,070;149,500;149,500
2021-08-02;2,090;30;6,399;13,407,090;2,120;2,120;2,080;150,219;150,219
2021-07-30;2,120;0;20,136;42,202,870;2,120;2,120;2,060;152,375;152,375
2021-07-29;2,120;10;3,163;6,654,800;2,120;2,120;2,090;152,375;152,375
2021-07-28;2,110;10;3,159;6,638,270;2,120;2,120;2,090;151,656;151,656
2021-07-27;2,120;10;8,626;18,194,850;2,120;2,130;2,100;152,375;152,375
2021-07-26;2,130;0;20,674;43,641,580;2,130;2,140;2,090;153,094;153,094
2021-07-23;2,130;20;12,276;26,116,760;2,130;2,140;2,120;153,094;153,094
2021-07-22;2,110;20;19,192;40,411,820;2,100;2,120;2,080;151,656;151,656
2021-07-21;2,090;20;8,462;17,545,650;2,100;2,110;2,050;150,219;150,219
2021-07-20;2,070;0;53,259;108,356,740;2,010;2,090;2,010;148,781;148,781
2021-07-19;2,070;30;29,103;60,168,580;2,100;2,100;2,040;148,781;148,781
