Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2022-10-12;3,140;10;24;75,440;3,150;3,150;3,140;235,327;235,327
2022-10-11;3,150;50;22;68,350;3,100;3,150;3,100;236,077;236,077
2022-10-10;3,100;80;494;1,528,440;3,110;3,110;3,090;232,330;232,330
2022-10-07;3,180;10;3;9,550;3,190;3,190;3,180;238,325;238,325
2022-10-06;3,170;10;99;313,630;3,170;3,170;3,150;237,576;237,576
2022-10-05;3,180;10;21;66,780;3,180;3,180;3,180;238,325;238,325
2022-10-04;3,190;10;23;73,160;3,180;3,190;3,180;239,075;239,075
2022-10-03;3,180;10;16;49,830;3,110;3,180;3,110;238,325;238,325
2022-09-30;3,190;10;10;31,750;3,190;3,190;3,110;239,075;239,075
2022-09-29;3,180;10;3;9,460;3,180;3,180;3,100;238,325;238,325
2022-09-28;3,170;20;4;12,680;3,170;3,170;3,170;237,576;237,576
2022-09-27;3,190;0;2,400;7,632,040;3,180;3,190;3,180;239,075;239,075
2022-09-23;3,190;0;3,787;12,044,250;3,220;3,220;3,180;239,075;239,075
2022-09-22;3,190;10;2,802;8,910,380;3,180;3,190;3,180;239,075;239,075
2022-09-21;3,180;70;2,432;7,579,580;3,110;3,180;3,090;238,325;238,325
2022-09-20;3,110;10;154;479,900;3,120;3,120;3,100;233,079;233,079
2022-09-19;3,120;30;226;699,180;3,100;3,130;3,090;233,828;233,828
2022-09-16;3,090;10;361;1,117,070;3,130;3,130;3,090;231,580;231,580
2022-09-15;3,100;10;519;1,609,040;3,140;3,140;3,100;232,330;232,330
2022-09-14;3,110;10;223;689,980;3,140;3,140;3,090;233,079;233,079
2022-09-13;3,120;0;649;2,023,280;3,090;3,150;3,090;233,828;233,828
2022-09-12;3,120;10;93;287,860;3,080;3,150;3,080;233,828;233,828
2022-09-09;3,110;20;127;396,240;3,130;3,130;3,110;233,079;233,079
2022-09-08;3,130;20;156;486,190;3,150;3,200;3,110;234,578;234,578
2022-09-07;3,110;0;337;1,047,380;3,150;3,150;3,100;233,079;233,079
2022-09-06;3,110;20;951;2,976,430;3,130;3,130;3,110;233,079;233,079
2022-09-05;3,130;10;320;991,930;3,150;3,150;3,090;234,578;234,578
2022-09-02;3,140;0;114;357,070;3,100;3,150;3,100;235,327;235,327
2022-09-01;3,140;0;3;9,430;3,150;3,150;3,140;235,327;235,327
2022-08-31;3,140;10;107;335,420;3,140;3,140;3,130;235,327;235,327
2022-08-30;3,130;0;21;65,730;3,130;3,130;3,130;234,578;234,578
2022-08-29;3,130;0;748;2,319,660;3,130;3,130;3,070;234,578;234,578
2022-08-26;3,130;20;70;217,510;3,150;3,150;3,100;234,578;234,578
2022-08-25;3,150;10;211;652,300;3,090;3,150;3,090;236,077;236,077
2022-08-24;3,160;60;88;273,610;3,190;3,190;3,100;236,826;236,826
2022-08-23;3,100;0;612;1,907,240;3,130;3,130;3,100;232,330;232,330
2022-08-22;3,100;70;130;405,500;3,150;3,150;3,100;232,330;232,330
2022-08-19;3,170;0;124;392,480;3,170;3,170;3,130;237,576;237,576
2022-08-18;3,170;0;4;12,680;3,170;3,170;3,170;237,576;237,576
2022-08-17;3,170;10;73;228,650;3,170;3,170;3,130;237,576;237,576
2022-08-16;3,180;10;1,060;3,289,150;3,180;3,180;3,100;238,325;238,325
2022-08-15;3,190;20;361;1,151,090;3,210;3,210;3,150;239,075;239,075
2022-08-12;3,170;10;7;22,210;3,180;3,180;3,170;237,576;237,576
2022-08-11;3,180;30;402;1,269,360;3,180;3,180;3,150;238,325;238,325
2022-08-10;3,150;20;28;88,980;3,180;3,180;3,150;236,077;236,077
2022-08-09;3,170;10;2;6,340;3,170;3,170;3,170;237,576;237,576
2022-08-08;3,180;30;108;338,520;3,130;3,180;3,130;238,325;238,325
2022-08-05;3,150;10;372;1,171,400;3,150;3,150;3,140;236,077;236,077
2022-08-04;3,140;20;471;1,472,910;3,120;3,170;3,120;235,327;235,327
2022-08-03;3,120;10;205;639,550;3,120;3,120;3,110;233,828;233,828
2022-08-02;3,130;50;35;111,100;3,130;3,180;3,130;234,578;234,578
2022-08-01;3,180;10;197;626,310;3,180;3,180;3,130;238,325;238,325
2022-07-29;3,190;40;47;145,790;3,100;3,190;3,100;239,075;239,075
2022-07-28;3,150;0;2;6,300;3,150;3,150;3,150;236,077;236,077
2022-07-27;3,150;0;50;157,500;3,150;3,150;3,150;236,077;236,077
2022-07-26;3,150;40;2;6,330;3,180;3,180;3,150;236,077;236,077
2022-07-25;3,190;10;131;416,760;3,200;3,200;3,180;239,075;239,075
2022-07-22;3,180;10;202;641,320;3,180;3,180;3,160;238,325;238,325
2022-07-21;3,190;60;508;1,594,370;3,100;3,190;3,100;239,075;239,075
