Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2023-07-17;2,180;10;1,802;3,919,900;2,200;2,200;2,160;14,086;40,246
2023-07-14;2,190;0;9,407;20,407,210;2,180;2,200;2,160;14,151;40,431
2023-07-13;2,190;10;4,064;8,892,610;2,210;2,230;2,170;14,151;40,431
2023-07-12;2,200;70;17,955;40,183,690;2,270;2,270;2,190;14,215;40,615
2023-07-11;2,270;130;67,092;147,786,680;2,140;2,290;2,120;14,668;41,908
2023-07-10;2,140;40;11,894;25,571,870;2,250;2,250;2,140;13,828;39,508
2023-07-07;2,180;10;13,402;28,911,760;2,200;2,200;2,140;14,086;40,246
2023-07-06;2,190;10;5,674;12,346,380;2,200;2,210;2,160;14,151;40,431
2023-07-05;2,200;0;157;345,320;2,200;2,210;2,180;14,215;40,615
2023-07-04;2,200;10;324;712,950;2,210;2,210;2,200;14,215;40,615
2023-07-03;2,210;10;247;545,860;2,210;2,210;2,200;14,280;40,800
2023-06-30;2,200;0;745;1,637,200;2,200;2,200;2,190;14,215;40,615
2023-06-29;2,200;0;2,839;6,158,210;2,210;2,240;2,160;14,215;40,615
2023-06-28;2,200;10;438;963,090;2,190;2,210;2,180;14,215;40,615
2023-06-27;2,190;30;16,472;36,029,410;2,230;2,230;2,170;14,151;40,431
2023-06-26;2,220;20;3,549;7,829,560;2,240;2,240;2,200;14,345;40,985
2023-06-23;2,240;0;1,587;3,517,290;2,250;2,250;2,200;14,474;41,354
2023-06-22;2,240;10;768;1,720,250;2,220;2,250;2,220;14,474;41,354
2023-06-21;2,250;0;602;1,345,570;2,220;2,250;2,220;14,538;41,538
2023-06-20;2,250;0;2,145;4,818,850;2,240;2,250;2,230;14,538;41,538
2023-06-19;2,250;50;1,126;2,529,700;2,270;2,270;2,210;14,538;41,538
2023-06-16;2,200;70;5,415;11,982,060;2,270;2,270;2,200;14,215;40,615
2023-06-15;2,270;0;1,466;3,279,000;2,270;2,270;2,220;14,668;41,908
