Name;Abb;License;Year;Total Office;Phnom Penh Office;Provincial Office;ATM terminals;POS;Debit Cards;Credit Cards;Staff;Total Assets;Total Equity;GLP;NLP;Debt= Borrowings+Sub-debt;Total Customer Deposits (exc. Deposits from banks and Fis);CASA deposits;Total Paid-up Capital;Foreign Share;Cash;Gold;Deposits with NBC;Due from Banks;Deposits with, Loans and advances to, Banks;Loans and advances  to state enterprises;Loans and advances to private sector;Accrued interest receivable from Loans;Securities;Claims on goverment;Prepaid Expenses;Fixed assets;Other assets;Total Assets;Owed to NBC;Owed to Banks;Borrowed Funds (including subdebt);Demand deposits;Saving deposits ;Fixed deposits ;Accrued interest payable;Other deposits;Other liabilities;Total Liabilities;Paid up Capital;Reserves  ;Regulatory Resereve & other;Retained and Current Profit/Loss;Total Equity;Interest Income;Interest Expenses;Net Interest Income;Non Interest Income;Gross Operating Income;Operating Expenses (Excluded Depreciations);Depreciation;Bad & Doubtful Debts;Recoveries;Profit & Loss Before Tax;Profit Tax;Extra Gains or Losses;Net profit for 12 Months;Total Credit (Exc. Loans to Other banks and Fis);Agriculture, Forestry and Fishing;Mining and Quarrying;Manufacturing;Utilities;Construction;Wholesale Trade;Retail Trade;Accommodation and Food Service Activities;Transport and Storage;Information and Communications;Rental and Operational Leasing Activities;Real Estate Activities (include mortgage from 2024);Other Non-Financial Services ( including Education + Arts, Entertainment and creation);Personal Essentials (Exclude mortgage from 2024);Other Lending;Total Customer Deposits;Government;State Enterprise ;Business Enterprises;Individuals;Non-profit Organizations;Non- Resident;Others;Asset growth;Equity growth;GLP growth;Deposit growth;Debt (borrowings & sub-debt) growth;Int.income growth;Net int. income growth;Non-int. income growth;Ope growth;PBT growth;Net income growth;ROA;ROE;ROAA;ROAE;NIM;Portfolio Yield;CIR;NPL ratio;Net loan/GLP;Provision exp ratio;Loans per staff;Loans per branch;Loan to Agriculture;Loan to Construction;Loan to Real-estate;Loan to Hotel & Restaurants;Loan to Retail Trade;Loan to Wholesale Trade;Loans to personal essentials;Loans to manufacturing;Loans to others;Ope ratio;Ope per staff;CASA Ratio;Loan-deposit Ratio;Deposits with NBC/TA;D/E;A/E;Total Equity/Risky Assets;CASA/TL;FD/TL;Borrowings/TL;Owed to Banks & NBC/TL;Subdebt/TL;Other liab/TL;Avg. Funding Cost;Yield on Earnings Assets;Operating exp. Ratio;Funding exp. Ratio;Provision exp. Ratio;Yield margin
Saigon Thuong Tin Bank (Cambodia) Plc;SACOM;Commercial;2010;;;;0;0;0;0;64;458965;157606;281742;0;202991;63744;45,788;154014;1;2500;27737;35335;44647;29310;0;280034;1709;0;0;3270;3020;31404;458965;0;202991;0;41045;4743;17807;149;0;34623;301359;154014;0;0;3592;157606;9150;426;8724;7067;15791;4341;603;2746;0;8100;131;-3076;4893;281742;0;2035;12139;0;30828;165375;33264;4211;1726;12161;0;0;0;242;19761;63744;0;0;32661;30934;0;0;149;;;;;;;;;;;;0.01066;0.03105;;;;;0.31309;0;0.99394;;4,402;;0;0.10942;0;0.01495;0.11807;0.58697;0.00086;0.04309;0.12665;;77.25;0.71831;4.4199;0.07699;1.9121;2.9121;0.40063;0.15194;0.05909;0;0.67359;;0.11539;;;;;;
Saigon Thuong Tin Bank (Cambodia) Plc;SACOM;Commercial;2011;4;4;0;4;0;0;0;110;353082;164095;229563;160;120154;57310;35,164;153482;1;13066;9959;45542;7911;24466;0;225083;3333;0;0;19965;3757;0;353082;0;120154;0;7848;27316;21978;168;0;11523;188987;153482;0;0;10613;164095;21574;2467;19107;-276;18832;7041;867;739;0;10184;2102;2531;10613;229563;0;0;40779;406;19003;51682;53145;6934;6494;122;0;0;0;3732;47266;57310;0;0;7659;49625;0;26;0;-0.2307;0.04117;-0.1852;-0.10093;-0.40808;1.35781;1.19017;-1.03905;0.59951;0.25728;1.16902;0.03006;0.06468;0.02614;0.06598;0.0552;0.06153;0.41992;0.0007;0.98048;0.00289;2,087;57,391;0;0.08278;0;0.03021;0.23151;0.22513;0.01626;0.17764;0.23648;0.03093;71.89;0.61358;4.00564;0.12898;1.15169;2.15169;0.57675;0.18607;0.11629;0;0.63578;;0.06186;0.01112;0.06153;0.02284;0.00713;0.00213;0.02942
Saigon Thuong Tin Bank (Cambodia) Plc;SACOM;Commercial;2012;5;4;1;5;0;0;0;167;355732;165979;256290;2780;88009;92957;37,755;151810;1;9659;8680;33169;10012;16083;0;249935;4836;11818;0;6380;5160;0;355732;0;88009;0;8986;28769;54436;767;0;8787;189753;151810;0;0;14169;165979;22020;5143;16877;2776;19653;12077;929;484;0;6163;1347;-102;4714;256290;0;0;29893;402;49414;85960;21355;6634;986;11441;0;0;0;11752;38453;92957;0;0;13752;79141;0;65;0;0.00751;0.01148;0.11643;0.622;-0.26753;0.02067;-0.11671;;0.64466;-0.39484;-0.55583;0.01325;0.0284;0.0133;0.02856;0.05409;0.07947;0.66178;0.01085;0.9752;0.00199;1,535;51,258;0;0.19281;0;0.02588;0.08332;0.3354;0.04585;0.11664;0.20009;0.05354;77.88;0.40616;2.75708;0.09324;1.14323;2.14323;0.54558;0.19897;0.28688;0;0.46381;;0.05034;0.02877;0.07947;0.04168;0.01648;0.00155;0.01975
Saigon Thuong Tin Bank (Cambodia) Plc;SACOM;Commercial;2013;7;6;1;6;0;0;0;173;459549;170086;333796;1707;166904;117087;49,326;151810;1;15822;2320;59423;42159;0;0;330923;2152;0;0;1484;5268;0;459549;0;166904;0;14400;34926;66979;782;0;5472;289463;151810;0;0;18276;170086;23814;5825;17989;2703;20693;13693;1422;-33;0;5611;1680;81;4011;333796;7569;41563;51880;2772;21734;83335;16841;7283;63;12083;9009;7430;0;50138;22097;117087;0;0;25265;89247;0;2575;0;0.29184;0.02474;0.30242;0.25958;0.89644;0.08147;0.06589;-0.0263;0.16216;-0.08957;-0.14913;0.00873;0.02358;0.00984;0.02387;0.04775;0.07038;0.73044;0.00511;0.99139;-0.00011;1,929;47,685;0.02268;0.06511;0.02226;0.02182;0.05045;0.24966;0.15021;0.15542;0.26239;0.05123;87.37;0.42128;2.85084;0.12931;1.70186;2.70186;0.44527;0.17041;0.23139;0;0.5766;;0.02161;0.02514;0.07038;0.04012;0.01546;-0.00009;0.01489
Saigon Thuong Tin Bank (Cambodia) Plc;SACOM;Commercial;2014;8;6;2;8;0;0;0;181;623749;160392;438123;6043;265034;191715;67,726;154850;1;14658;1385;47804;114680;0;0;423995;9622;0;0;6388;5217;0;623749;0;265034;0;17491;50235;121539;2450;0;6609;463357;154850;0;0;5542;160392;34258;10623;23635;3327;26962;16137;1367;1885;0;7573;1800;-231;5542;438123;266;51837;96272;6025;59693;82826;29928;7607;351;3610;3674;12882;0;61225;21927;191715;0;0;34194;154293;0;3227;0;0.35731;-0.05699;0.31255;0.63737;0.58794;0.43857;0.31386;0.23085;0.15805;0.34967;0.3817;0.00888;0.03455;0.01023;0.03354;0.04639;0.07377;0.64921;0.01379;0.96775;0.00488;2,421;54,765;0.00061;0.13625;0.0294;0.01736;0.06831;0.18905;0.13974;0.21974;0.19954;0.04535;96.71;0.35326;2.28528;0.07664;2.8889;3.8889;0.28646;0.14616;0.2623;0;0.57199;;0.01955;0.02881;0.07377;0.03436;0.02085;0.0037;0.01486
Saigon Thuong Tin Bank (Cambodia) Plc;SACOM;Commercial;2015;8;6;2;8;0;0;0;205;654992;165048;460373;8871;264028;218113;67,625;153900;1;16008;1211;73636;105637;0;0;440955;12842;0;0;803;3855;45;654992;0;264028;0;20125;47500;147957;2531;0;7803;489944;153900;0;0;11148;165048;32622;10379;22243;5646;27889;16880;1330;1971;0;7708;1806;-154;5748;460373;12110;186540;17820;2844;22979;66528;34848;8177;223;0;237;3156;0;72718;32194;218113;0;0;32409;179702;0;6002;0;0.05009;0.02903;0.05078;0.13769;-0.0038;-0.04776;-0.0589;0.69702;0.04033;0.01783;0.03717;0.00878;0.03483;0.00899;0.03532;0.03687;0.06343;0.65295;0.01927;0.95782;0.00439;2,246;57,547;0.0263;0.04991;0.00686;0.01776;0.0757;0.14451;0.15795;0.03871;0.4823;0.04053;88.83;0.31005;2.11071;0.11242;2.96849;3.96849;0.29257;0.13803;0.30199;0;0.53889;;0.02109;0.02223;0.06343;0.03018;0.0172;0.00327;0.01278
Saigon Thuong Tin Bank (Cambodia) Plc;SACOM;Commercial;2016;8;6;2;8;0;0;0;205;701119;170785;480126;10919;244424;277587;81,876;153406;1;50619;1324;121642;48005;0;0;457186;14569;0;0;1141;6437;197;701119;0;244424;0;16648;65228;191574;4136;0;8324;530334;153406;0;0;17379;170785;33695;12602;21092;6070;27162;16444;1409;1989;0;7320;1490;290;6120;480126;24800;191373;6144;1427;58052;36368;46330;6647;1005;0;99;11741;2021;49764;44354;277587;0;0;29424;238103;0;10059;0;0.07042;0.03476;0.04291;0.27268;-0.07425;0.03289;-0.05175;0.0751;-0.0196;-0.05034;0.06472;0.00873;0.03583;0.00903;0.03645;0.03383;0.06377;0.65728;0.02274;0.95222;0.00423;2,342;60,016;0.05165;0.12091;0.02445;0.01384;0.0965;0.07575;0.10365;0.0128;0.50045;0.03796;87.09;0.29496;1.72964;0.1735;3.10527;4.10527;0.32374;0.15439;0.36123;0;0.46089;;0.02349;0.02527;0.06377;0.02863;0.02021;0.00319;0.01174
Saigon Thuong Tin Bank (Cambodia) Plc;SACOM;Commercial;2017;9;6;3;9;0;0;0;243;696428;176115;500894;8164;141670;370579;89,439;153406;1;29057;1469;115614;44725;2040;0;475619;18047;0;0;1114;7774;970;696428;0;141670;0;14929;74510;275146;5994;0;8063;520313;153406;0;0;22709;176115;38665;15007;23658;6454;30111;22110;1665;-2010;0;8346;2687;-45;5613;500894;36734;160632;8001;1573;60666;35337;58566;2116;541;0;83;11116;2046;84906;38577;370579;0;0;42716;318099;0;9764;0;-0.00669;0.03121;0.04326;0.335;-0.42039;0.1475;0.12166;0.06326;0.33171;0.14016;-0.08284;0.00806;0.03187;0.00803;0.03236;0.03741;0.07134;0.78958;0.0163;0.94954;-0.0041;2,061;55,655;0.07334;0.12112;0.02219;0.00422;0.11692;0.07055;0.16951;0.01597;0.40618;0.04847;97.84;0.24135;1.35165;0.16601;2.95439;3.95439;0.32004;0.17189;0.52881;0;0.27228;;0.02702;0.02931;0.07134;0.03759;0.02373;-0.00318;0.0132
Saigon Thuong Tin Bank (Cambodia) Plc;SACOM;Commercial;2018;10;7;3;11;0;0;0;264;722084;117318;589047;74898;136679;452846;130,995;152684;1;47648;0;105916;22601;12335;0;499122;23700;0;0;1181;7986;1595;722084;0;136679;0;18140;112855;314896;6956;0;15241;604767;152684;0;0;-35366;117318;34110;18107;16004;10635;26638;23893;1715;58558;;-57528;475;785;-57218;589047;30754;125370;14906;2541;49059;44593;70824;1460;1;;64;1315;1550;192793;53817;452846;;;37107;395602;;20136;;0.03684;-0.33386;0.17599;0.222;-0.03523;-0.11781;-0.32353;0.64782;0.0771;-7.89288;-11.19384;-0.07924;-0.48772;-0.08067;-0.38999;0.02505;0.07003;0.96133;0.12715;0.84734;0.10745;2,231;58,905;0.05221;0.08329;0.00223;0.00248;0.12023;0.0757;0.3273;0.02531;0.31125;0.04699;97;0.28927;1.30077;0.14668;5.15494;6.15493;0.20636;0.2166;0.52069;0;0.226;;0.0367;0.03326;0.07003;0.04008;0.02834;0.09164;-0.09003
Saigon Thuong Tin Bank (Cambodia) Plc;SACOM;Commercial;2019;10;7;3;23;14;0;1265;273;940351;248457;673859;111736;50218;599401;134,685;305625;1;42246;0;132622;98318;40793;0;574595;30597;0;0;1112;6964;13105;940352;0;50218;0;38644;96041;454919;9797;0;42276;691895;305625;0;0;-57168;248457;34860;21358;13502;-27901;-14399;27903;1832;3315;0;-47449;558;38409;-9597;673859;13224;103741;14526;2927;68306;49616;80844;5057;0;0;46;1007;218;302132;32215;599401;0;0;44221;524646;0;30533;0;0.30227;1.11781;0.14398;0.32363;-0.63258;0.02199;-0.15634;-3.62351;0.16116;;;-0.01021;-0.03863;-0.01155;-0.05247;0.01817;0.00936;-2.06507;0.16582;0.85269;0.00525;2,468;67,386;0.01962;0.10137;0.00149;0.0075;0.11997;0.07363;0.44836;0.02156;0.20649;0.04709;108.92;0.2247;1.12422;0.14103;2.78477;3.78476;0.32458;0.19466;0.6575;0;0.07258;;0.07526;0.03494;0.00936;0.04001;0.02874;0.00446;-0.06385
Saigon Thuong Tin Bank (Cambodia) Plc;SACOM;Commercial;2020;10;7;3;23;14;0;1503;251;1066195;251531;688590;114937;14362;756019;176,244;303375;1;47966;0;193700;155121;35787;0;574231;34409;0;0;2688;7609;14683;1066194;0;14362;0;43568;132676;566122;13653;0;44284;814665;303375;0;0;-51844;251531;55329;26872;28457;16330;44788;25023;1823;12607;0;5334;699;-1408;3227;688590;20031;102595;9642;3656;70465;49159;81574;4589;0;0;24;676;0;319786;26394;756019;0;0;40652;679351;0;36015;0;0.13383;0.01237;0.02186;0.26129;-0.71401;0.58718;1.10761;;-0.09716;;;0.00303;0.01283;0.00322;0.01291;0.03153;0.07939;0.5994;0.16692;0.83392;0.01851;2,743;68,859;0.02909;0.10233;0.00098;0.00666;0.11847;0.07139;0.46441;0.014;0.19267;0.03941;106.96;0.23312;0.91081;0.18167;3.23883;4.23882;0.30506;0.21634;0.69491;0;0.01763;;0.07112;0.03848;0.07939;0.02974;0.02977;0.01397;0.00591
Saigon Thuong Tin Bank (Cambodia) Plc;SACOM;Commercial;2021;10;7;3;25;29;9978;1789;258;1124504;281668;719372;119172;40404;747138;199,388;305550;1;32192;0;211056;116223;95569;0;598405;43247;0;0;6072;6950;14789;1124503;0;40404;0;35330;164058;535409;12341;0;55293;842835;305550;0;0;-23882;281668;53323;28223;25100;30413;55513;26900;2059;-2494;0;29048;971;184;28262;719372;45761;104775;5582;4850;53898;50247;95059;5637;0;0;0;0;0;340349;13214;747138;0;0;35690;675220;0;36228;0;0.05469;0.11981;0.0447;-0.01175;1.81326;-0.03626;-0.11797;0.8624;0.07871;4.44582;7.75798;0.02513;0.10034;0.0258;0.10601;0.02535;0.08458;0.52166;0.16566;0.83184;-0.00354;2,788;71,937;0.06361;0.07492;0;0.00784;0.13214;0.06985;0.47312;0.00776;0.17076;0.04114;112.24;0.26687;0.96284;0.18769;2.9923;3.9923;0.31962;0.23657;0.63525;0;0.04794;;0.08025;0.03685;0.08458;0.02925;0.02851;-0.00252;0.02934
Saigon Thuong Tin Bank (Cambodia) Plc;SACOM;Commercial;2022;10;7;3;27;32;10411;2200;264;1114611;304448;857544;133676;6825;741970;172,700;308775;1;49374;0;145532;91429;31610;0;723316;50014;0;0;5459;9174;8702;1114610;0;6825;0;28348;144352;558050;11221;0;61367;810163;308775;0;0;-4327;304448;60094;27205;32890;31037;63927;29407;2145;1955;0;30420;1089;641;29973;857544;46104;111506;5883;4297;87334;161284;37873;5650;0;0;0;0;0;390130;7484;741970;0;0;31853;674838;0;35279;0;-0.0088;0.08088;0.19207;-0.00692;-0.83108;0.12698;0.31036;0.02052;0.08954;0.04723;0.06054;0.02689;0.09845;0.02677;0.10228;0.03268;0.09054;0.49356;0.15588;0.84347;0.00248;3,248;85,754;0.05376;0.10184;0;0.00659;0.04416;0.18808;0.45494;0.00686;0.14377;0.04002;119.52;0.23276;1.15577;0.13057;2.66109;3.66109;0.33103;0.21317;0.68881;0;0.00842;;0.0896;0.03597;0.09054;0.03135;0.02703;0.00194;0.03022
Saigon Thuong Tin Bank (Cambodia) Plc;SACOM;Commercial;2023;10;7;3;26;31;10532;2415;272;1106682;304980;856678;164865;28487;703629;116,899;306375;1;32262;0;178985;93361;7558;0;718509;51085;0;0;14837;6712;3373;1106682;0;28487;0;25809;91090;571461;15269;0;69586;801702;306375;0;0;-1395;304980;67551;34030;33522;16515;50036;35445;2400;-2050;0;14241;1069;868;14041;856678;52078;114569;8793;6137;87765;143263;47887;7822;5794;0;0;0;0;377829;4741;703629;0;0;35393;636917;0;31319;0;-0.00711;0.00175;-0.00101;-0.05167;3.17392;0.12409;0.01922;-0.46789;0.19945;-0.53185;-0.53155;0.01269;0.04604;0.01264;0.04608;0.03369;0.08448;0.75636;0.19245;0.83872;-0.00239;3,150;85,668;0.06079;0.10245;0;0.00913;0.0559;0.16723;0.44104;0.01026;0.1532;0.04415;139.14;0.16614;1.21751;0.16173;2.6287;3.6287;0.34059;0.14581;0.71281;0;0.03553;;0.10584;0.0468;0.08448;0.03803;0.0342;-0.00206;0.01431
Saigon Thuong Tin Bank (Cambodia) Plc;SACOM;Commercial;2024;10;7;3;35;34;10543;2695;260;1241147;343075;820794;90471;28173;814510;119,731;305625;1;29921;0;246970;86071;44036;0;781251;3528;0;0;27613;21757;0;1241147;0;28173;0;35295;84436;675229;19551;0;55388;898072;305625;0;52443;-14993;343075;69432;47294;22138;19140;41278;28434;2645;-30527;0;40726;8962;0;31764;820794;92453;102009;16575;8851;93707;123100;52204;9960;6115;0;1995;295721;0;14204;3899;814510;0;0;56763;725908;0;31838;0;0.1215;0.12491;-0.04189;0.15758;-0.01102;0.02785;-0.3396;0.15895;-0.17878;1.85977;1.26223;0.02559;0.09259;0.02706;0.09803;0.02053;0.08214;0.75292;0.11022;0.95182;-0.0364;3,157;82,079;0.11264;0.11417;0.36029;0.01213;0.0636;0.14998;0.01731;0.02019;0.1497;0.03705;119.53;0.147;1.00772;0.19899;2.61771;3.61771;0.35579;0.13332;0.75187;0;0.03137;;0.08344;0.06142;0.08214;0.02882;0.04386;-0.02831;0.03777
Saigon-Hanoi Bank Cambodia Plc.;SHB;Commercial;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saigon-Hanoi Bank Cambodia Plc.;SHB;Commercial;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saigon-Hanoi Bank Cambodia Plc.;SHB;Commercial;2012;1;1;0;0;0;0;0;32;219345;150064;155563;0;10510;57166;44,778;149813;1;252;0;21181;4844;28154;0;154877;686;0;0;1097;2112;6142;219345;0;10510;0;44778;0;12115;28;244;1605;69281;149813;0;0;251;150064;8687;1775;6912;716;7629;6137;355;1549;0;-413;102;766;251;155563;1906;0;128443;0;0;0;0;0;0;0;0;0;0;25214;0;57166;0;0;35497;20063;0;1606;0;;;;;;;;;;;;0.00114;0.00167;0.00114;0.00167;0.03306;0.04498;0.85096;0;0.99559;0.00996;4,861;155,563;0.01225;0;0;0;0;0;0.16208;0.82567;0;0.04173;202.88;0.7833;2.72125;0.09656;0.46168;1.46168;0.75824;0.64632;0.17487;0;0.1517;;0.02711;0.02633;0.04498;0.03105;0.00849;0.00741;-0.00198
Saigon-Hanoi Bank Cambodia Plc.;SHB;Commercial;2013;2;1;1;0;0;0;0;42;576765;153880;504250;206;16043;108708;84,105;149813;1;991;0;27805;2410;19989;1965;501312;897;0;0;6005;2977;12413;576765;0;16043;0;84105;0;24507;96;0;298133;422884;149813;0;0;4068;153880;23641;1157;22484;-1165;21318;12458;356;3552;0;4952;232;-653;4068;504250;827;0;414668;0;1241;7539;1016;419;0;0;0;0;0;698;77841;108708;0;0;72659;32291;0;3757;0;1.62949;0.02543;2.24145;0.90162;0.52645;1.72142;2.25289;-2.62709;0.97381;;15.20717;0.00705;0.02644;0.01022;0.02677;0.05897;0.05895;0.60109;0.00041;0.99807;0.01077;12,006;252,125;0.00164;0.00246;0;0.00083;0.00201;0.01495;0.00138;0.82235;0.15437;0.03884;305.1;0.77368;4.63857;0.04821;2.74814;3.74815;0.28082;0.19888;0.05795;0;0.03794;;0.70523;0.01205;0.05895;0.03361;0.00303;0.00932;0.01299
Saigon-Hanoi Bank Cambodia Plc.;SHB;Commercial;2014;4;3;1;0;0;0;0;55;676465;159794;591069;1026;425449;83534;34,367;152813;1;8268;0;32127;7236;2637;16;589432;1071;0;0;870;4197;30610;676465;0;425449;0;34367;0;48126;1041;0;7689;516671;152813;0;0;6981;159794;33727;16019;17708;-1910;15798;6547;661;1233;0;7358;371;-5;6981;591069;3613;0;443284;1714;3616;18744;4697;785;2169;0;0;0;0;71860;40589;83534;0;0;22252;32710;0;28572;0;0.17286;0.03843;0.17217;-0.23157;25.51929;0.42663;-0.21242;;-0.43749;0.48586;0.71608;0.01032;0.04369;0.01114;0.04451;0.02989;0.0537;0.45626;0.00174;0.99726;0.00225;10,747;147,767;0.00611;0.00612;0;0.00133;0.00795;0.03171;0.12158;0.74997;0.07524;0.01316;131.05;0.41141;7.07579;0.04749;3.23336;4.23336;0.25122;0.06652;0.09315;0;0.82344;;0.01689;0.05065;0.0537;0.01217;0.02704;0.00208;0.01242
Saigon-Hanoi Bank Cambodia Plc.;SHB;Commercial;2015;5;4;1;0;0;0;0;64;980048;162119;840368;482;722540;85627;24,207;151875;1;3825;0;121287;2061;5287;0;838045;2051;0;0;1671;3733;2087;980048;0;722540;0;24207;0;60090;1329;1;9762;817929;151875;0;0;10244;162119;46648;25191;21458;509;21966;7662;1393;2252;0;10660;505;-1;10154;840368;486317;0;8990;2706;56590;16810;2971;2284;1946;81263;831;113382;0;42396;23882;85627;0;2102;17428;65890;0;207;0;0.44878;0.01455;0.42178;0.02506;0.6983;0.38311;0.21177;;0.25624;0.44876;0.45452;0.01036;0.06263;0.01226;0.06309;0.02685;0.05902;0.41223;0.00057;0.99724;0.00315;13,131;168,074;0.5787;0.06734;0.13492;0.00272;0.00354;0.02;0.05045;0.0107;0.13164;0.01265;141.48;0.2827;9.81429;0.12376;5.04524;6.04524;0.18963;0.0296;0.07347;0;0.88338;;0.01356;0.03832;0.05902;0.01133;0.03153;0.00282;0.01334
Saigon-Hanoi Bank Cambodia Plc.;SHB;Commercial;2016;5;4;1;0;0;0;0;64;978448;212398;772698;14976;690003;66866;13,939;201850;1;5279;0;124257;3517;74377;0;762026;2501;0;0;150;4710;1630;978448;0;690003;0;13939;0;51615;1312;0;9180;766049;201850;0;0;10548;212398;49850;22236;27614;1243;28856;9408;1202;7072;0;11175;556;-71;10548;772698;415924;0;8159;3186;53191;24959;3248;4743;1567;80794;2777;116769;0;41438;15944;66866;0;1373;7035;58007;0;451;0;-0.00163;0.31014;-0.08052;-0.2191;-0.04503;0.06864;0.28689;1.44204;0.17173;0.04831;0.0388;0.01078;0.04966;0.01077;0.05633;0.0286;0.05292;0.36769;0.01938;0.98619;0.00877;12,073;154,540;0.53827;0.06884;0.15112;0.00614;0.0042;0.0323;0.05363;0.01056;0.13494;0.01316;165.78;0.20846;11.55592;0.12699;3.60667;4.60667;0.2502;0.0182;0.06738;0;0.90073;;0.0137;0.02846;0.05292;0.01099;0.02303;0.00733;0.01158
Saigon-Hanoi Bank Cambodia Plc.;SHB;Commercial;2017;5;4;1;0;0;0;0;58;1001739;222804;776388;23846;655437;108414;33,420;201850;1;4859;0;130218;11350;90495;0;752693;7377;0;0;74;3038;1634;1001739;0;655437;0;33420;0;73520;1475;0;15083;778935;201850;0;0;20954;222804;45295;5652;39642;2997;42640;11291;970;8017;0;22361;603;-805;20954;776388;464128;1321;6596;1444;53958;21630;4407;4809;1477;0;4630;121416;0;50398;40175;108414;0;1724;22033;84385;0;272;0;0.0238;0.04899;0.00478;0.62136;-0.0501;-0.09137;0.43558;1.4111;0.15561;1.00098;0.98654;0.02092;0.09405;0.02116;0.0963;0.04068;0.04956;0.28755;0.03071;0.96948;0.01035;13,386;155,278;0.5978;0.0695;0.15639;0.00619;0.00568;0.02786;0.06491;0.0085;0.06317;0.01583;211.4;0.30826;7.16133;0.12999;3.49605;4.49605;0.25708;0.0429;0.09439;0;0.84145;;0.02126;0.00745;0.04956;0.01258;0.0058;0.00823;0.02295
Saigon-Hanoi Bank Cambodia Plc.;SHB;Commercial;2018;5;4;1;;;;;61;1168514;314410;976401;30973;674438;166430;60,627;301350;1;4617;0;151296;1677;52297;0;948192;5561;0;0;0;2395;2479;1168514;0;674438;0;60627;0;103741;2062;0;13236;854104;301350;0;0;13060;314410;56587;25216;31371;4831;36202;13371;630;8391;;13809;618;-131;13060;976401;545129;1033;6349;1343;56465;23031;4065;5793;1753;;3427;213674;;63515;50823;166430;;134;54929;111118;;249;;0.16649;0.41115;0.25762;0.53513;0.02899;0.2493;-0.20864;0.61195;0.14191;-0.38245;-0.37673;0.01118;0.04154;0.01204;0.04862;0.02934;0.05745;0.38675;0.03172;0.97111;0.00957;16,007;195,280;0.5583;0.05783;0.21884;0.00593;0.00416;0.02359;0.06505;0.0065;0.05979;0.01598;229.52;0.36428;5.86674;0.12948;2.71653;3.71653;0.3105;0.07098;0.12146;0;0.78964;;0.01791;0.0315;0.05745;0.0131;0.02359;0.00785;0.01292
Saigon-Hanoi Bank Cambodia Plc.;SHB;Commercial;2019;5;4;1;0;0;0;0;62;1239344;333282;1061121;23274;779657;109231;48,139;305625;1;7371;0;132086;2942;37274;0;1038858;6679;0;0;0;1928;12205;1239343;0;779657;0;48139;0;60418;674;0;17174;906062;305625;0;0;27657;333282;70365;35407;34958;4148;39107;16512;598;-6597;0;28594;796;-141;27657;1061121;575675;5660;9201;1174;66497;25621;830;5302;898;0;1542;217373;0;46784;104564;109231;0;1334;54763;53098;0;36;0;0.06062;0.06002;0.08677;-0.34368;0.15601;0.24348;0.11434;-0.14138;0.22206;1.07068;1.11769;0.02232;0.08298;0.02297;0.0854;0.02957;0.06302;0.43752;0.02193;0.97902;-0.00648;17,115;212,224;0.54252;0.06267;0.20485;0.005;0.00078;0.02415;0.04409;0.00867;0.10728;0.01679;275.97;0.44071;9.71447;0.10658;2.7186;3.7186;0.30302;0.05313;0.06668;0;0.86049;;0.0197;0.041;0.06302;0.01447;0.02995;-0.00558;0.02418
Saigon-Hanoi Bank Cambodia Plc.;SHB;Commercial;2020;5;4;1;0;0;0;0;56;1413288;350129;1185147;27488;794335;250843;82,265;303375;1;7539;0;94625;5637;124227;0;1157543;9185;0;0;0;1502;13031;1413289;0;794335;0;82265;0;165717;2861;0;17982;1063160;303375;0;0;46754;350129;84945;43542;41402;4183;45585;15659;490;-1997;0;31434;914;-352;30168;1185147;563985;6280;8043;1888;77810;71686;2471;8698;467;0;564;192805;0;34806;215645;250843;0;74239;88982;87485;0;137;0;0.14035;0.05055;0.11688;1.29645;0.01883;0.20721;0.18434;0.00844;-0.05617;0.09932;0.09079;0.02135;0.08616;0.02275;0.08829;0.03193;0.06874;0.35426;0.02319;0.97671;-0.00178;21,163;237,029;0.47588;0.06565;0.16268;0.00734;0.00208;0.06049;0.02937;0.00679;0.18972;0.01438;288.38;0.32795;4.72466;0.06695;3.03648;4.03648;0.26704;0.07738;0.15587;0;0.74715;;0.0196;0.04511;0.06874;0.01245;0.03358;-0.00154;0.02424
