Date;Based On;Group;Averaged Spread (bp);Averaged Spread (bp);Averaged Spread (bp);Standard Deviation (bp);Standard Deviation (bp);Standard Deviation (bp);Averaged Maturity;Averaged Maturity;Averaged Maturity
Date;Based On;Group;<= 3 Yrs.;3 - 5 Yrs.;> 5 Yrs.;<= 3 Yrs.;3 - 5 Yrs.;> 5 Yrs.;<= 3 Yrs.;3 - 5 Yrs.;> 5 Yrs.
2025-09-11;Maturity;A;73.770358;108.539890;140.329792;26.584374;30.467702;26.338586;1.596799;3.926448;7.114485
2025-09-11;Maturity;A-;142.594544;201.173816;216.549368;58.847516;51.499517;44.864164;1.408675;3.941793;7.087139
2025-09-11;Maturity;BBB+;219.329007;275.399653;250.497937;63.502902;77.470328;45.206213;1.458273;3.821111;7.384075
2025-09-11;Maturity;BBB;284.848495;339.120374;382.420122;63.670233;52.919047;12.458368;1.479140;3.850684;6.119634
2025-09-11;Maturity;BBB-;379.375407;-;-;53.291135;-;-;1.404764;-;-
2025-09-11;Duration;AAA;37.212581;78.563659;84.176842;25.352018;40.627738;48.148213;1.332146;3.986301;8.562142
2025-09-11;Duration;AA+;44.458188;73.563935;86.720146;35.064751;28.267102;13.567110;1.273059;4.434246;8.264187
2025-09-11;Duration;AA;40.139012;69.490090;105.991627;18.879995;19.012082;24.408148;1.406316;4.018982;8.291095
2025-09-11;Duration;AA-;54.988163;88.657380;128.475320;31.046751;32.271488;39.821890;1.714117;4.390616;7.937508
2025-09-11;Duration;A+;85.873350;132.180608;156.067473;35.149377;45.507824;42.885095;1.498941;4.339149;8.040821
2025-09-11;Duration;A;73.739712;116.565518;141.933042;26.396922;29.958038;28.821885;1.637359;4.232627;7.487811
2025-09-11;Duration;A-;147.144704;198.334112;221.779228;61.008721;49.361741;47.168503;1.504370;4.275753;7.594721
2025-09-11;Duration;BBB+;220.379994;275.774478;252.246341;64.259584;75.279953;45.349694;1.513400;4.131335;7.682583
2025-09-11;Duration;BBB;286.252949;344.484023;399.021612;63.922279;52.352995;-;1.514764;4.154420;8.084931
2025-09-11;Duration;BBB-;379.015938;-;-;53.426825;-;-;1.404764;-;-
2025-09-10;Maturity;AAA;37.120442;73.926058;87.482295;25.514124;38.465994;47.650327;1.334885;3.914212;8.283333
2025-09-10;Maturity;AA+;44.522854;74.115605;84.104254;34.995919;29.932407;12.645755;1.275799;4.357381;8.059360
2025-09-10;Maturity;AA;39.482249;65.751590;105.537083;18.742652;14.542591;19.630958;1.310233;3.822100;7.665205
2025-09-10;Maturity;AA-;53.936416;79.143775;122.634005;30.912489;30.127735;38.874943;1.544649;3.846427;7.389868
2025-09-10;Maturity;A+;83.831659;133.450189;151.182500;33.052219;44.624464;43.446805;1.444738;4.058864;7.696069
2025-09-10;Maturity;A;73.710794;108.578246;140.383490;26.647355;30.475034;26.368502;1.599539;3.929188;7.117225
2025-09-10;Maturity;A-;142.162347;201.507342;218.037194;58.965345;51.220978;46.563764;1.411415;3.944533;7.089878
2025-09-10;Maturity;BBB+;219.504262;275.436139;250.560066;63.340184;77.495228;45.240558;1.461012;3.823851;7.386815
2025-09-10;Maturity;BBB;284.538384;337.719348;377.657033;63.323710;52.557302;30.068488;1.481880;3.853424;6.122374
2025-09-10;Maturity;BBB-;379.297466;-;-;53.277990;-;-;1.407504;-;-
2025-09-10;Duration;AAA;37.050013;78.136211;83.812575;25.488037;40.939825;48.260730;1.334885;3.989041;8.564881
2025-09-10;Duration;AA+;44.441455;73.555827;86.686959;35.038948;28.267259;13.523990;1.275799;4.436986;8.266927
2025-09-10;Duration;AA;40.610673;69.459348;106.086868;19.115182;19.021829;24.626431;1.409056;4.021722;8.293835
2025-09-10;Duration;AA-;55.502657;88.394171;127.804538;31.045043;32.646146;39.621214;1.716856;4.362135;7.886078
2025-09-10;Duration;A+;85.866000;131.889948;156.101496;35.145345;45.387144;42.936949;1.501681;4.341888;8.043561
2025-09-10;Duration;A;73.681954;116.531567;141.871162;26.459993;29.950597;28.809675;1.640099;4.235367;7.490551
2025-09-10;Duration;A-;146.736680;198.531375;223.354694;61.152306;49.081030;49.071671;1.507109;4.278492;7.597460
2025-09-10;Duration;BBB+;220.545707;275.711517;252.203134;64.105106;75.314816;45.323096;1.516140;4.134075;7.685322
2025-09-10;Duration;BBB;285.627249;341.702950;414.276313;63.259856;50.822039;-;1.517503;4.157160;8.087671
2025-09-10;Duration;BBB-;378.918483;-;-;53.423784;-;-;1.407504;-;-
2025-09-09;Maturity;AAA;37.366379;73.940446;87.511630;25.534876;38.496988;47.671291;1.337625;3.916952;8.286073
2025-09-09;Maturity;AA+;44.557763;74.000980;83.840416;34.983693;30.018143;12.817172;1.278538;4.360121;8.062100
2025-09-09;Maturity;AA;39.670187;65.777625;105.547430;18.590309;14.538461;19.602133;1.312973;3.824840;7.667945
2025-09-09;Maturity;AA-;54.781880;79.363389;122.615612;30.850439;30.190934;38.904904;1.547388;3.849166;7.392607
2025-09-09;Maturity;A+;83.904915;133.455581;151.186854;33.066739;44.626673;43.456468;1.447477;4.061604;7.698808
2025-09-09;Maturity;A;73.490059;108.581290;140.369170;27.008362;30.422639;26.370044;1.588203;3.931928;7.119965
2025-09-09;Maturity;A-;142.104100;201.525484;218.224116;59.065951;51.201283;46.810114;1.414154;3.947273;7.092618
2025-09-09;Maturity;BBB+;219.525234;276.389877;251.110908;63.400968;77.792428;45.750351;1.463752;3.826591;7.389554
2025-09-09;Maturity;BBB;284.265638;336.295784;362.860041;63.073572;52.583634;30.247333;1.484620;3.856164;6.125114
2025-09-09;Maturity;BBB-;379.367388;-;-;53.270633;-;-;1.410244;-;-
2025-09-09;Duration;AAA;37.297810;78.134737;83.760293;25.505496;40.930891;48.151468;1.337625;3.991780;8.567621
2025-09-09;Duration;AA+;44.474496;73.472246;86.382639;35.014689;28.285396;13.543866;1.278538;4.439726;8.269667
2025-09-09;Duration;AA;40.793772;69.430835;106.208852;18.967588;19.022814;24.719037;1.411796;4.024461;8.296575
2025-09-09;Duration;AA-;56.261466;88.529036;127.778947;30.994453;32.691104;39.623900;1.719596;4.364875;7.888818
2025-09-09;Duration;A+;85.939522;131.868711;156.062163;35.166342;45.384634;42.949517;1.504420;4.344628;8.046301
2025-09-09;Duration;A;73.468649;116.522007;141.848514;26.817966;29.942031;28.799859;1.628779;4.238107;7.493291
2025-09-09;Duration;A-;146.696854;198.523812;223.498877;61.268624;49.058579;49.387064;1.509849;4.281232;7.600200
2025-09-09;Duration;BBB+;220.559431;276.900724;252.505043;64.149247;75.673016;45.585688;1.518880;4.136815;7.688062
2025-09-09;Duration;BBB;285.014412;339.016190;399.209622;62.734938;50.010778;-;1.520243;4.159900;8.090410
2025-09-09;Duration;BBB-;378.993080;-;-;53.475179;-;-;1.410244;-;-
2025-09-08;Maturity;AAA;37.391247;73.944363;87.535335;25.475169;38.457138;47.697319;1.340365;3.919691;8.288812
2025-09-08;Maturity;AA+;44.162984;74.114513;83.414529;35.413657;29.934601;12.278588;1.281278;4.362861;8.064840
2025-09-08;Maturity;AA;39.605117;65.619651;105.607080;18.304233;14.470361;19.632971;1.315713;3.827580;7.670685
2025-09-08;Maturity;AA-;55.196841;79.867763;122.964340;31.061369;30.475564;39.529695;1.550128;3.851906;7.395347
2025-09-08;Maturity;A+;82.941041;130.536906;152.558894;33.262931;42.930441;43.137091;1.450217;4.036744;7.644127
2025-09-08;Maturity;A;73.833199;109.109775;140.708071;26.086186;30.221965;26.157066;1.577749;3.911369;7.122704
2025-09-08;Maturity;A-;142.292484;201.604244;218.237204;58.798454;51.253528;46.815171;1.416894;3.950012;7.095358
2025-09-08;Maturity;BBB+;219.494096;276.405204;251.127304;63.401446;77.785890;45.752896;1.466492;3.829331;7.392294
2025-09-08;Maturity;BBB;283.921779;334.828081;348.368985;62.859014;53.038080;30.122969;1.487359;3.858904;6.127853
2025-09-08;Maturity;BBB-;379.344355;-;-;53.259126;-;-;1.412983;-;-
2025-09-08;Duration;AAA;37.323912;78.166365;83.730611;25.447204;40.941238;48.096509;1.340365;3.994520;8.570361
2025-09-08;Duration;AA+;44.082724;73.602510;85.851079;35.443501;28.260744;13.033256;1.281278;4.442465;8.272407
2025-09-08;Duration;AA;40.736774;69.283180;106.275918;18.705373;19.045850;24.746172;1.414535;4.027201;8.299315
2025-09-08;Duration;AA-;56.675856;88.982200;128.152496;31.144960;32.917192;40.349195;1.722336;4.367615;7.891557
2025-09-08;Duration;A+;84.745804;131.667725;156.463147;34.772001;45.179197;42.363818;1.507160;4.347368;8.049041
2025-09-08;Duration;A;74.294417;116.597072;142.202381;26.298683;29.988379;28.525923;1.631519;4.240846;7.496030
2025-09-08;Duration;A-;146.869198;198.656930;223.528566;61.002065;49.132863;49.382394;1.512589;4.283972;7.602940
2025-09-08;Duration;BBB+;220.533489;276.970228;252.515581;64.145027;75.674294;45.524720;1.521620;4.139554;7.690802
2025-09-08;Duration;BBB;284.351446;336.405842;384.948000;62.330304;49.920291;-;1.522983;4.162640;8.093150
2025-09-08;Duration;BBB-;378.984101;-;-;53.437683;-;-;1.412983;-;-
2025-09-05;Maturity;AAA;37.660323;73.926915;87.534675;25.382820;38.485231;47.696669;1.348584;3.927910;8.297032
2025-09-05;Maturity;AA+;44.175305;74.046101;83.207732;35.416749;29.987087;12.203062;1.289497;4.371080;8.073059
2025-09-05;Maturity;AA;39.883534;65.604490;105.599291;18.148553;14.467643;19.605927;1.323932;3.835799;7.678904
2025-09-05;Maturity;AA-;55.406321;79.998306;123.062674;31.127181;30.539976;39.761870;1.558347;3.860125;7.403566
2025-09-05;Maturity;A+;82.859709;130.451798;152.869482;33.324385;43.016613;42.840155;1.458436;4.044963;7.652346
2025-09-05;Maturity;A;74.353672;108.199309;140.832292;25.832908;30.343171;26.173037;1.572602;3.897226;7.130923
2025-09-05;Maturity;A-;142.284146;201.141300;218.254794;58.571692;50.843460;46.812520;1.421300;3.912720;7.093767
2025-09-05;Maturity;BBB+;220.248232;274.918847;251.120167;64.097429;75.728288;45.743339;1.441896;3.791476;7.400513
2025-09-05;Maturity;BBB;283.283547;333.345441;333.620313;62.757013;53.879230;30.245544;1.495579;3.867123;6.136073
2025-09-05;Maturity;BBB-;379.310569;-;-;53.307619;-;-;1.421203;-;-
2025-09-05;Duration;AAA;37.595607;78.113057;83.638237;25.357095;40.944212;47.962339;1.348584;4.002739;8.578580
2025-09-05;Duration;AA+;44.096639;73.490162;85.557526;35.441801;28.299725;12.940982;1.289497;4.450685;8.280626
2025-09-05;Duration;AA;40.970229;69.233880;106.363405;18.547068;19.029428;24.822268;1.422755;4.035420;8.307534
2025-09-05;Duration;AA-;56.857086;89.398191;127.045107;31.190134;33.312540;40.887544;1.730555;4.344340;7.846886
2025-09-05;Duration;A+;84.658061;131.547142;156.860166;34.828326;45.241053;42.000923;1.515379;4.355587;8.057260
2025-09-05;Duration;A;74.763582;116.550724;142.311269;25.914118;29.956405;28.521649;1.639738;4.249065;7.504250
2025-09-05;Duration;A-;147.097562;198.593960;223.443367;60.669500;49.129276;49.328804;1.517701;4.282926;7.611159
2025-09-05;Duration;BBB+;221.575346;276.898019;252.556700;64.504799;75.653403;45.494392;1.514332;4.147774;7.699021
2025-09-05;Duration;BBB;283.369373;333.658802;370.507487;62.114432;50.504449;-;1.531202;4.170859;8.101369
2025-09-05;Duration;BBB-;378.968717;-;-;53.488568;-;-;1.421203;-;-
2025-09-03;Maturity;AAA;37.097747;73.995290;87.556724;25.276295;38.413719;47.692550;1.333213;3.933390;8.302511
2025-09-03;Maturity;AA+;44.102279;73.976075;83.493157;35.411647;30.023129;12.145343;1.294977;4.376560;8.078538
2025-09-03;Maturity;AA;39.465916;65.606716;105.612933;17.052539;14.460304;19.583625;1.329411;3.841278;7.684383
2025-09-03;Maturity;AA-;55.890480;77.709686;122.587391;31.029684;31.842168;39.188914;1.563827;3.865605;7.409046
2025-09-03;Maturity;A+;82.934487;130.768626;152.568154;33.380498;42.555510;42.783318;1.463916;4.050443;7.657825
2025-09-03;Maturity;A;74.989094;109.005173;142.356147;25.531974;30.176051;26.996029;1.578082;3.902706;7.136403
2025-09-03;Maturity;A-;141.700132;199.545813;216.954010;58.702570;50.179761;47.603769;1.417934;3.897737;7.058929
2025-09-03;Maturity;BBB+;219.887407;274.881157;251.085669;64.268286;75.715424;45.746761;1.447375;3.796955;7.405993
2025-09-03;Maturity;BBB;281.862104;330.353661;304.186148;63.034803;56.660711;30.323771;1.501058;3.872602;6.141552
2025-09-03;Maturity;BBB-;379.129926;-;-;53.361213;-;-;1.426682;-;-
2025-09-03;Duration;AAA;37.039242;78.188452;83.549207;25.254912;40.863756;47.852626;1.333213;4.008219;8.584059
2025-09-03;Duration;AA+;44.029758;73.462559;85.738552;35.434752;28.303712;12.818440;1.294977;4.456164;8.286105
2025-09-03;Duration;AA;40.600939;69.239417;106.509026;17.567171;19.048677;24.972290;1.428234;4.040900;8.313013
2025-09-03;Duration;AA-;57.123761;86.317836;125.873790;31.261570;35.132891;39.877381;1.715338;4.288536;7.800852
2025-09-03;Duration;A+;84.747231;131.745372;156.596090;34.877750;44.761998;41.932875;1.520859;4.361067;8.062739
2025-09-03;Duration;A;75.377143;117.425233;144.009535;25.608417;29.631573;29.429360;1.645217;4.254545;7.509729
2025-09-03;Duration;A-;146.528256;197.761400;221.302272;60.821718;48.997569;49.752206;1.514286;4.288406;7.616638
2025-09-03;Duration;BBB+;221.242427;276.911311;252.435971;64.677018;75.638027;45.430724;1.519811;4.153253;7.704500
2025-09-03;Duration;BBB;281.316696;328.335632;341.245969;62.389964;53.661740;-;1.536681;4.176338;8.106849
2025-09-03;Duration;BBB-;378.808008;-;-;53.532822;-;-;1.426682;-;-
2025-09-02;Maturity;AAA;37.487541;73.989841;87.553723;24.957210;38.405307;47.710892;1.335953;3.936130;8.305251
2025-09-02;Maturity;AA+;44.035139;74.212873;83.487374;35.432577;30.305222;12.141880;1.297716;4.379299;8.081278
2025-09-02;Maturity;AA;39.722358;65.795836;105.600125;16.468459;14.309683;19.588789;1.332151;3.844018;7.687123
2025-09-02;Maturity;AA-;55.837814;77.720822;122.434207;31.320627;31.910167;39.237209;1.566566;3.868345;7.411786
2025-09-02;Maturity;A+;82.169102;131.186061;152.367329;32.780961;41.995940;42.448755;1.448369;4.023170;7.660565
