Date;AAA;AA;A;BBB;BB;B;CCC
2025-01-02;0.34;0.48;0.7;1.02;1.83;2.9;7.39
2025-01-01;nan;nan;nan;nan;nan;nan;nan
2024-12-31;0.34;0.48;0.69;1.02;1.86;2.96;7.46
2024-12-30;0.34;0.47;0.69;1.01;1.9;2.96;7.4
2024-12-27;0.33;0.46;0.68;1.0;1.8;2.85;7.3
2024-12-26;0.33;0.47;0.68;1.0;1.83;2.87;7.29
2024-12-25;nan;nan;nan;nan;nan;nan;nan
2024-12-24;0.34;0.47;0.69;1.01;1.82;2.87;7.3
2024-12-23;0.34;0.48;0.69;1.02;1.81;2.85;7.32
2024-12-20;0.35;0.48;0.69;1.02;1.82;2.88;7.3
2024-12-19;0.35;0.47;0.69;1.02;1.86;2.92;7.36
2024-12-18;0.33;0.45;0.66;0.98;1.69;2.74;7.16
2024-12-17;0.33;0.45;0.66;0.99;1.71;2.75;7.2
2024-12-16;0.32;0.45;0.65;0.98;1.65;2.68;7.16
2024-12-13;0.32;0.45;0.65;0.98;1.65;2.67;7.16
2024-12-12;0.33;0.45;0.66;0.99;1.63;2.64;7.14
2024-12-11;0.32;0.45;0.65;0.98;1.61;2.61;7.15
2024-12-10;0.33;0.46;0.66;1.0;1.63;2.66;7.21
2024-12-09;0.34;0.47;0.67;1.01;1.62;2.65;7.24
2024-12-06;0.34;0.47;0.68;1.02;1.62;2.64;7.3
2024-12-05;0.33;0.47;0.67;1.01;1.61;2.63;7.27
2024-12-04;0.33;0.46;0.67;1.01;1.61;2.63;7.31
2024-12-03;0.34;0.46;0.67;1.0;1.6;2.64;7.32
2024-12-02;0.34;0.47;0.68;1.01;1.63;2.65;7.32
2024-11-30;0.35;0.48;0.69;1.03;1.68;2.73;7.35
2024-11-29;0.34;0.47;0.68;1.02;1.67;2.69;7.26
2024-11-28;0.35;0.48;0.69;1.02;1.65;2.65;7.22
2024-11-27;0.35;0.48;0.69;1.02;1.65;2.65;7.22
2024-11-26;0.34;0.47;0.68;1.01;1.64;2.64;7.18
2024-11-25;0.33;0.46;0.67;1.0;1.61;2.59;7.16
2024-11-22;0.33;0.46;0.67;1.0;1.58;2.58;7.1
2024-11-21;0.32;0.46;0.67;1.01;1.58;2.57;7.06
2024-11-20;0.33;0.46;0.67;1.01;1.63;2.63;7.19
2024-11-19;0.32;0.45;0.66;1.0;1.65;2.64;7.22
2024-11-18;0.31;0.45;0.66;1.0;1.69;2.67;7.25
2024-11-15;0.32;0.46;0.67;1.01;1.68;2.69;7.25
2024-11-14;0.33;0.45;0.66;1.0;1.57;2.54;7.16
2024-11-13;0.31;0.44;0.65;0.99;1.59;2.58;7.25
2024-11-12;0.3;0.43;0.63;0.97;1.57;2.55;7.19
2024-11-11;0.3;0.43;0.63;0.98;1.58;2.58;7.21
2024-11-08;0.3;0.43;0.63;0.98;1.58;2.58;7.21
2024-11-07;0.29;0.43;0.64;0.99;1.69;2.69;7.28
2024-11-06;0.31;0.45;0.66;1.01;1.68;2.7;7.33
2024-11-05;0.34;0.48;0.7;1.06;1.78;2.84;7.5
2024-11-04;0.34;0.49;0.71;1.07;1.79;2.87;7.51
2024-11-01;0.35;0.49;0.71;1.07;1.75;2.84;7.41
2024-10-31;0.35;0.49;0.71;1.08;1.8;2.86;7.56
2024-10-30;0.33;0.48;0.7;1.06;1.71;2.75;7.52
2024-10-29;0.32;0.48;0.7;1.06;1.76;2.81;7.61
2024-10-28;0.32;0.48;0.7;1.06;1.72;2.78;7.59
2024-10-25;0.33;0.48;0.7;1.07;1.79;2.85;7.69
2024-10-24;0.34;0.49;0.71;1.08;1.83;2.88;7.69
2024-10-23;0.33;0.48;0.71;1.08;1.85;2.9;7.71
2024-10-22;0.33;0.48;0.71;1.07;1.83;2.87;7.69
2024-10-21;0.32;0.47;0.7;1.07;1.78;2.83;7.67
2024-10-18;0.3;0.46;0.68;1.05;1.78;2.85;7.66
2024-10-17;0.3;0.46;0.68;1.04;1.78;2.84;7.69
2024-10-16;0.3;0.46;0.68;1.05;1.79;2.87;7.75
2024-10-15;0.31;0.46;0.69;1.05;1.8;2.89;7.8
2024-10-14;0.3;0.46;0.69;1.06;1.83;2.95;7.85
2024-10-11;0.3;0.46;0.69;1.06;1.84;2.96;7.88
2024-10-10;0.31;0.47;0.69;1.07;1.85;2.98;7.9
2024-10-09;0.32;0.48;0.7;1.08;1.81;2.92;7.87
2024-10-08;0.32;0.49;0.71;1.09;1.85;2.96;7.92
2024-10-07;0.32;0.48;0.71;1.09;1.81;2.92;7.9
2024-10-04;0.31;0.48;0.71;1.1;1.76;2.86;7.85
2024-10-03;0.33;0.51;0.74;1.13;1.89;3.02;8.01
2024-10-02;0.34;0.52;0.75;1.15;1.92;3.03;8.06
2024-10-01;0.35;0.52;0.76;1.16;1.93;3.04;8.06
2024-09-30;0.34;0.52;0.76;1.16;1.89;2.99;8.02
2024-09-27;0.34;0.52;0.76;1.15;1.91;3.07;8.4
2024-09-26;0.35;0.51;0.76;1.15;1.88;3.05;8.63
2024-09-25;0.34;0.51;0.76;1.15;1.92;3.11;8.65
2024-09-24;0.33;0.51;0.76;1.15;1.95;3.13;8.68
2024-09-23;0.34;0.51;0.76;1.16;1.9;3.06;8.59
2024-09-20;0.34;0.52;0.77;1.17;1.91;3.07;8.5
2024-09-19;0.34;0.52;0.77;1.16;1.86;3.02;8.47
2024-09-18;0.36;0.54;0.8;1.19;1.93;3.14;8.71
2024-09-17;0.37;0.55;0.81;1.2;1.97;3.18;8.77
2024-09-16;0.38;0.56;0.82;1.22;2.03;3.24;8.9
2024-09-13;0.38;0.56;0.83;1.23;2.05;3.28;9.19
2024-09-12;0.4;0.57;0.83;1.24;2.07;3.3;9.17
2024-09-11;0.41;0.58;0.84;1.25;2.12;3.36;9.27
2024-09-10;0.41;0.58;0.84;1.25;2.14;3.35;9.33
2024-09-09;0.4;0.57;0.83;1.23;2.04;3.22;9.29
2024-09-06;0.4;0.57;0.84;1.24;2.06;3.25;9.37
2024-09-05;0.4;0.57;0.83;1.23;1.98;3.12;9.32
2024-09-04;0.4;0.57;0.83;1.23;2.0;3.19;9.57
2024-09-03;0.39;0.56;0.82;1.22;1.95;3.14;9.65
