Name;Abb;License;Year;Phnom Penh Office;Provincial Office;Total Office;Staff;Total Assets;Total Equity;GLP;NLP;Debt;Total Deposits;Total Paid-up Capital;Foreign Share;Cash and Balance with NBC and Other Banks;Loans and Advances to Customers;Prepayment and short term Receiable;Long Term Investment;Property and Equipment;Other Assets;Total Assets;Compulsory Saving;Voluntary Saving;Interest Payable;Accountpayable and Others Liabilities;Accrued Expenses and Provision;Loans Payable;Deferred Revenue;Suspense Clearing and interbranch Account;Other Liabilities;Subordinated Debt;Total Liabilities;Paid up Capital;Premium on Share Capital;Reserves and Appropriations;Retained and Current Profit/Loss;Total Equity;Interest income;Interest Expenses;Net Interest Income;Non-interest income;Operation income;Operating Expense;Net Provision;Profit from operation;Grant Income;Profit before Taxes;Tax on profit;Net Profit &Loss for 12 months;Total Credit (Exc. Loans to Other banks and Fis);Agriculture, Forestry and Fishing;Mining and Quarrying;Manufacturing;Utilities;Construction;Wholesale Trade;Retail Trade;Accommodation and Food Service Activities;Transport and Storage;Information and Communications;Rental and Operational Leasing Activities;Real Estate Activities (include mortgage from 2024);Other Non-Financial Services ( including Education + Arts, Entertainment and creation);Personal Essentials (Exclude mortgage from 2024);Other Lending;Asset growth;Equity growth;GLP growth;Deposit growth;Debt (borrowings & sub-debt) growth;Int.income growth;Net int. income growth;Non-int. income growth;Ope growth;PBT growth;Net income growth;ROA;ROE;ROAA;ROAE;NIM;Portfolio Yield;CIR;NPL ratio;Net loan/GLP;Provision exp ratio;Loans per staff;Loans per branch;Loan to Agriculture;Loan to Construction;Loan to Trade and Commerce;Loan to Service;Loan to Transportation;Loan to Household;Loans to manufacturing;Loans to others;Ope ratio;Ope per staff;Loan-deposit Ratio;Cash & Deposits with NBC & Other Banks/TA;D/E;A/E;CAR;Deposits/TL;Borrowings and Sub-debt/TL;Payable/TL;Other liab/TL;Avg. Funding Cost;Yield on Earnings Assets;Operating exp. Ratio;Funding exp. Ratio;Provision exp. Ratio;Yield margin;;;;
Side Hustle Microfinance Plc.;Side Hustle;MFI;2024;1;0;1;15;4,952;1,068;882;1;2,959;0;6,095;0.4900;1,507;881;0;0;231;2,333;4,952;0;0;0;922;0;1,960;0;0;2;999;3,883;6,095;0;0;-5,027;1,068;61;12;49;9;57;1,789;16;-1,748;0;-1,748;3;-1,751;882;3;1;198;4;25;41;151;188;44;3;22;44;87;0;71;0.14497;-0.56568;-0.68712;;738.75000;0.19608;0.19608;0.00000;0.56245;;;-0.35359;-1.63951;-0.37749;-0.99291;0.00635;0.03783;31.38596;0.00113;0.99887;0.00865;58.80;882.00;0.00340;0.02834;0.17120;0.21315;0.04989;0.07256;0.22449;0.23696;0.23169;119.27;;0.30432;3.63577;4.63670;0.25438;0.00000;0.76204;0.23745;0.00052;0.00810;0.00907;0.23169;0.00155;0.00207;-0.22625;;;71;
Sixty Six Finance Plc.;Sixthy Six;MFI;2010;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sixty Six Finance Plc.;Sixthy Six;MFI;2011;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sixty Six Finance Plc.;Sixthy Six;MFI;2012;;;;;;;;;;0;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sixty Six Finance Plc.;Sixthy Six;MFI;2013;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sixty Six Finance Plc.;Sixthy Six;MFI;2014;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sixty Six Finance Plc.;Sixthy Six;MFI;2015;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sixty Six Finance Plc.;Sixthy Six;MFI;2016;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sixty Six Finance Plc.;Sixthy Six;MFI;2017;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sixty Six Finance Plc.;Sixthy Six;MFI;2018;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sixty Six Finance Plc.;Sixthy Six;MFI;2019;;;1;8;12,419;11,618;0;0;796;0;12,225;0.6600;1,916;0;10,253;0;250;0;12,419;0;0;0;0;0;796;0;0;5;0;801;12,225;0;0;-607;11,618;3;0;3;0;3;611;0;-607;0;-607;0;-607;0;0;;0;;0;;0;0;0;;;;;0;0;;;;;;;;;;;;-0.04888;-0.05225;-0.04888;-0.05225;;;177.10145;;;;0.00;0.00;;;;;;;;;;76.38;;0.15428;0.06894;1.06894;1.01370;0.00000;0.99376;0.00000;0.00624;0.00000;;;;;;;;0;
Sixty Six Finance Plc.;Sixthy Six;MFI;2020;;;1;10;11,543;11,352;7,943;0;0;0;12,135;0.6600;1,792;7,911;1,524;0;313;3;11,543;0;0;0;0;0;0;0;0;191;0;191;12,135;0;0;-783;11,352;805;40;765;79;844;936;79;-171;0;-171;9;-180;7,943;0;;0;;0;;0;0;0;;;;;0;7,943;-0.07054;-0.02290;;;-1.00000;241.46988;241.46988;606.69231;0.53191;;;-0.01559;-0.01586;-0.01502;-0.01567;0.04741;0.22259;1.10900;0.00000;0.99597;0.01989;794.30;7,943.00;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;;0.05801;93.60;;0.15525;0.01683;1.01683;1.06622;0.00000;0.00000;0.00000;;0.10050;0.05478;0.05801;0.00248;0.00490;-0.01060;;;7943;
