Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2022-11-29;10,520;20;64,745;679,541,500;10,500;10,520;10,420;4,556,875;4,556,875
2022-11-28;10,500;0;66,217;693,363,880;10,500;10,500;10,400;4,548,212;4,548,212
2022-11-25;10,500;120;29,996;313,072,020;10,380;10,500;10,380;4,548,212;4,548,212
2022-11-24;10,380;60;93,344;965,937,680;10,400;10,400;10,300;4,496,232;4,496,232
2022-11-23;10,440;60;90,627;944,182,260;10,420;10,460;10,380;4,522,222;4,522,222
2022-11-22;10,500;60;33,009;346,532,840;10,560;10,560;10,460;4,548,212;4,548,212
2022-11-21;10,560;40;57,385;606,274,240;10,600;10,600;10,500;4,574,201;4,574,201
2022-11-18;10,600;0;44,881;474,579,320;10,600;10,600;10,540;4,591,528;4,591,528
2022-11-17;10,600;0;46,965;497,504,220;10,600;10,600;10,540;4,591,528;4,591,528
2022-11-16;10,600;60;77,135;816,155,980;10,660;10,660;10,500;4,591,528;4,591,528
2022-11-15;10,660;40;95,313;1,010,151,280;10,700;10,700;10,480;4,617,518;4,617,518
2022-11-14;10,700;40;61,100;653,408,720;10,740;10,740;10,660;4,634,844;4,634,844
2022-11-11;10,740;0;92,090;987,591,560;10,740;10,740;10,680;4,652,171;4,652,171
2022-11-10;10,740;0;85,577;918,327,880;10,760;10,800;10,680;4,652,171;4,652,171
2022-11-04;10,740;140;116,814;1,259,168,900;10,680;10,900;10,680;4,652,171;4,652,171
2022-11-03;10,600;140;86,547;911,384,420;10,480;10,600;10,460;4,591,528;4,591,528
2022-11-02;10,460;20;69,683;726,671,000;10,440;10,460;10,400;4,530,885;4,530,885
2022-11-01;10,440;0;67,906;707,759,660;10,440;10,440;10,400;4,522,222;4,522,222
2022-10-31;10,440;0;84,502;880,591,060;10,440;10,440;10,400;4,522,222;4,522,222
2022-10-28;10,440;20;123,260;1,282,992,740;10,420;10,440;10,380;4,522,222;4,522,222
2022-10-27;10,420;20;21,037;218,813,880;10,400;10,440;10,380;4,513,559;4,513,559
2022-10-26;10,400;80;100,625;1,041,261,420;10,300;10,400;10,300;4,504,895;4,504,895
2022-10-25;10,320;0;146,475;1,509,693,480;10,320;10,320;10,300;4,470,242;4,470,242
2022-10-24;10,320;20;43,514;448,324,720;10,340;10,340;10,280;4,470,242;4,470,242
2022-10-21;10,340;20;91,011;936,370,740;10,340;10,340;10,220;4,478,906;4,478,906
2022-10-20;10,320;20;44,991;463,642,440;10,300;10,320;10,260;4,470,242;4,470,242
2022-10-19;10,300;40;84,923;871,350,420;10,260;10,300;10,220;4,461,579;4,461,579
2022-10-18;10,260;20;102,699;1,051,921,360;10,240;10,260;10,180;4,444,253;4,444,253
2022-10-17;10,240;20;84,592;864,645,060;10,220;10,240;10,180;4,435,589;4,435,589
2022-10-14;10,220;20;97,137;992,158,800;10,200;10,220;10,180;4,426,926;4,426,926
2022-10-13;10,200;0;131,631;1,340,621,480;10,200;10,200;10,160;4,418,263;4,418,263
2022-10-12;10,200;20;88,950;906,831,220;10,220;10,220;10,160;4,418,263;4,418,263
2022-10-11;10,220;0;88,707;904,650,320;10,180;10,220;10,160;4,426,926;4,426,926
2022-10-10;10,220;40;71,479;729,081,620;10,220;10,220;10,180;4,426,926;4,426,926
2022-10-07;10,260;0;96,965;991,720,660;10,240;10,260;10,200;4,444,253;4,444,253
2022-10-06;10,260;0;29,419;301,600,140;10,260;10,260;10,220;4,444,253;4,444,253
2022-10-05;10,260;20;92,067;944,101,500;10,260;10,260;10,240;4,444,253;4,444,253
