Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2023-11-03;2,330;20;34;79,390;2,400;2,400;2,330;59,904;59,904
2023-11-02;2,350;100;913;2,101,690;2,410;2,410;2,290;60,418;60,418
2023-11-01;2,450;130;1;2,450;2,450;2,450;2,450;62,990;62,990
2023-10-31;2,320;60;232;532,460;2,390;2,390;2,250;59,647;59,647
2023-10-30;2,260;110;70;159,540;2,400;2,400;2,260;58,105;58,105
2023-10-27;2,370;50;23;54,670;2,330;2,390;2,330;60,933;60,933
2023-10-26;2,320;30;15;34,820;2,500;2,530;2,280;59,647;59,647
2023-10-25;2,350;40;147;343,610;2,270;2,360;2,270;60,418;60,418
2023-10-24;2,310;20;16;36,960;2,310;2,310;2,310;59,390;59,390
2023-10-23;2,290;70;376;858,470;2,330;2,330;2,250;58,876;58,876
2023-10-20;2,220;100;1,357;3,114,730;2,510;2,510;2,220;57,076;57,076
2023-10-19;2,320;50;232;538,530;2,370;2,560;2,320;59,647;59,647
2023-10-18;2,370;10;227;537,910;2,350;2,370;2,350;60,933;60,933
2023-10-17;2,360;10;76;179,560;2,370;2,370;2,360;60,676;60,676
2023-10-16;2,370;60;1;2,370;2,370;2,370;2,370;60,933;60,933
2023-10-12;2,310;20;493;1,137,380;2,400;2,400;2,300;59,390;59,390
2023-10-11;2,330;10;2,542;5,846,980;2,320;2,330;2,300;59,904;59,904
2023-10-10;2,320;0;851;1,946,740;2,320;2,330;2,280;59,647;59,647
2023-10-09;2,320;10;1,180;2,717,550;2,330;2,330;2,300;59,647;59,647
2023-10-06;2,330;10;3,255;7,466,440;2,300;2,350;2,280;59,904;59,904
2023-10-05;2,320;40;3,826;8,809,440;2,530;2,530;2,280;59,647;59,647
2023-10-04;2,360;90;2,129;4,994,440;2,480;2,480;2,320;60,676;60,676
2023-10-03;2,450;40;2,723;6,832,970;2,690;2,690;2,410;62,990;62,990
2023-10-02;2,490;10;1,441;3,725,720;2,750;2,750;2,460;64,018;64,018
2023-09-29;2,500;200;362;907,510;2,690;2,690;2,500;64,275;64,275
2023-09-28;2,700;30;108;291,570;2,780;2,780;2,510;69,417;69,417
2023-09-27;2,730;30;136;373,910;2,750;2,750;2,730;70,188;70,188
2023-09-26;2,760;30;56;156,150;2,790;2,790;2,760;70,960;70,960
2023-09-25;2,790;10;2,388;6,478,650;2,790;2,800;2,710;71,731;71,731
2023-09-22;2,800;50;48;133,980;2,780;2,810;2,780;71,988;71,988
2023-09-21;2,750;90;985;2,700,980;2,850;2,850;2,730;70,702;70,702
2023-09-20;2,840;40;407;1,139,110;2,800;2,840;2,730;73,016;73,016
2023-09-19;2,800;20;69;193,350;2,810;2,820;2,800;71,988;71,988
2023-09-18;2,820;0;11;30,910;2,820;2,820;2,770;72,502;72,502
2023-09-15;2,820;0;1,260;3,551,340;2,820;2,880;2,800;72,502;72,502
2023-09-14;2,820;60;180;508,800;2,890;2,890;2,820;72,502;72,502
2023-09-13;2,880;0;676;1,943,880;2,880;2,900;2,830;74,045;74,045
2023-09-12;2,880;20;345;999,290;2,910;2,910;2,880;74,045;74,045
2023-09-11;2,900;40;209;606,770;2,930;2,930;2,900;74,559;74,559
2023-09-08;2,940;160;3,535;10,250,390;3,000;3,000;2,890;75,587;75,587
2023-09-07;3,100;0;835;2,517,590;3,050;3,100;2,980;79,701;79,701
2023-09-06;3,100;240;2,151;6,474,990;3,120;3,120;2,730;79,701;79,701
2023-09-05;2,860;140;423;1,203,550;3,000;3,000;2,810;73,531;73,531
2023-09-04;3,000;260;4,512;13,634,280;3,100;3,150;3,000;77,130;77,130
2023-09-01;3,260;70;177;566,790;3,190;3,260;3,190;83,815;83,815
2023-08-31;3,190;90;1,437;4,684,290;3,280;3,280;3,190;82,015;82,015
2023-08-30;3,280;60;9;29,570;3,330;3,330;3,280;84,329;84,329
2023-08-29;3,340;0;15;50,180;3,340;3,360;3,340;85,871;85,871
2023-08-28;3,340;20;135;448,220;3,320;3,340;3,320;85,871;85,871
2023-08-25;3,320;10;377;1,249,140;3,330;3,330;3,300;85,357;85,357
2023-08-24;3,330;60;1,290;4,328,640;3,450;3,450;3,330;85,614;85,614
2023-08-23;3,390;40;640;2,174,780;3,400;3,410;3,390;87,157;87,157
2023-08-22;3,430;20;304;1,033,670;3,440;3,440;3,400;88,185;88,185
2023-08-21;3,450;0;659;2,263,440;3,450;3,450;3,340;88,700;88,700
2023-08-18;3,450;0;221;767,290;3,490;3,490;3,450;88,700;88,700
2023-08-17;3,450;50;376;1,300,030;3,490;3,490;3,450;88,700;88,700
2023-08-16;3,500;60;8;27,710;3,410;3,500;3,410;89,985;89,985
2023-08-15;3,440;20;185;636,520;3,450;3,450;3,440;88,442;88,442
2023-08-14;3,460;60;194;669,790;3,460;3,460;3,450;88,957;88,957
2023-08-11;3,520;10;59;208,150;3,530;3,530;3,440;90,499;90,499
2023-08-10;3,510;10;482;1,688,650;3,500;3,600;3,500;90,242;90,242
2023-08-09;3,500;10;137;479,240;3,540;3,540;3,490;89,985;89,985
2023-08-08;3,490;30;747;2,586,900;3,520;3,520;3,430;89,728;89,728
2023-08-07;3,520;20;385;1,338,180;3,450;3,560;3,430;90,499;90,499
2023-08-04;3,500;20;531;1,858,300;3,480;3,500;3,480;89,985;89,985
