Date;Closing Price;Change;Trading Volume (shr);Trading Value (KHR);Opening;High;Low;Market Cap. (Mil.KHR);Full Market Cap. (Mil.KHR)
2022-08-15;13,420;20;83;1,114,980;13,460;13,460;13,420;1,151,060;6,043,064
2022-08-12;13,440;20;102;1,371,740;13,460;13,460;13,440;1,152,775;6,052,070
2022-08-11;13,420;20;146;1,960,120;13,440;13,440;13,420;1,151,060;6,043,064
2022-08-10;13,400;0;361;4,850,340;13,480;13,480;13,400;1,149,344;6,034,058
2022-08-09;13,400;20;430;5,755,620;13,400;13,680;13,360;1,149,344;6,034,058
2022-08-08;13,380;20;104;1,394,000;13,440;13,440;13,380;1,147,629;6,025,052
2022-08-05;13,400;20;1,996;26,484,760;13,180;13,420;13,180;1,149,344;6,034,058
2022-08-04;13,420;200;569;7,660,160;13,520;13,580;13,420;1,151,060;6,043,064
2022-08-03;13,620;60;830;11,248,880;13,660;13,660;13,500;1,168,214;6,133,125
2022-08-02;13,680;0;1,242;16,901,160;13,620;13,680;13,500;1,173,361;6,160,143
2022-08-01;13,680;20;255;3,462,900;13,700;13,700;13,520;1,173,361;6,160,143
2022-07-29;13,700;0;494;6,744,040;13,700;13,700;13,500;1,175,076;6,169,149
2022-07-28;13,700;0;381;5,209,620;13,680;13,700;13,640;1,175,076;6,169,149
2022-07-27;13,700;20;166;2,255,900;13,700;13,740;13,520;1,175,076;6,169,149
2022-07-26;13,680;60;3,153;42,640,500;13,720;13,780;13,500;1,173,361;6,160,143
2022-07-25;13,740;60;2,426;32,960,520;13,800;13,800;13,500;1,178,507;6,187,161
2022-07-22;13,800;100;94;1,297,200;13,800;13,800;13,800;1,183,653;6,214,179
2022-07-21;13,700;40;473;6,484,540;13,740;13,740;13,700;1,175,076;6,169,149
2022-07-20;13,740;20;564;7,774,580;13,800;13,800;13,740;1,178,507;6,187,161
2022-07-19;13,760;60;333;4,594,400;13,820;13,820;13,760;1,180,222;6,196,167
2022-07-18;13,820;20;166;2,293,700;13,820;13,860;13,700;1,185,369;6,223,185
2022-07-15;13,800;0;538;7,435,040;13,840;13,880;13,760;1,183,653;6,214,179
2022-07-14;13,800;0;641;8,852,020;13,820;13,820;13,800;1,183,653;6,214,179
2022-07-13;13,800;20;188;2,598,380;13,840;13,840;13,800;1,183,653;6,214,179
2022-07-12;13,820;40;266;3,684,280;13,860;13,880;13,680;1,185,369;6,223,185
2022-07-11;13,860;20;4,426;61,249,860;13,880;13,880;13,700;1,188,799;6,241,197
2022-07-08;13,840;60;947;13,084,480;13,820;13,860;13,780;1,187,084;6,232,191
2022-07-07;13,780;0;737;10,175,480;13,980;13,980;13,780;1,181,938;6,205,173
2022-07-06;13,780;40;5,076;70,049,000;13,800;13,820;13,740;1,181,938;6,205,173
2022-07-05;13,820;20;1,186;16,361,600;13,780;13,820;13,760;1,185,369;6,223,185
2022-07-04;13,800;0;3,532;48,078,660;14,080;14,080;12,600;1,183,653;6,214,179
2022-07-01;13,800;0;772;10,651,300;13,800;13,800;13,780;1,183,653;6,214,179
2022-06-30;13,800;0;377;5,202,480;13,800;13,800;13,780;1,183,653;6,214,179
2022-06-29;13,800;0;239;3,294,600;13,800;13,800;13,780;1,183,653;6,214,179
2022-06-28;13,800;0;837;11,491,780;13,700;13,960;13,700;1,183,653;6,214,179
2022-06-27;13,800;0;1,633;22,439,480;13,800;13,800;13,700;1,183,653;6,214,179
2022-06-24;13,800;480;21,795;305,849,440;14,080;14,140;13,800;1,183,653;6,214,179
2022-06-23;14,280;20;3,105;44,286,580;14,200;14,280;14,200;1,224,824;6,430,324
2022-06-22;14,300;0;8,241;116,390,180;14,380;14,380;14,100;1,226,539;6,439,330
2022-06-21;14,300;20;5,273;75,577,740;14,280;14,380;14,280;1,226,539;6,439,330
2022-06-20;14,280;0;1,091;15,590,220;14,300;14,460;14,140;1,224,824;6,430,324
2022-06-17;14,280;20;1,939;27,729,740;14,340;14,440;14,280;1,224,824;6,430,324
2022-06-16;14,260;120;457;6,487,160;14,160;14,320;14,160;1,223,108;6,421,318
2022-06-15;14,380;80;15,843;228,676,460;14,460;14,460;14,140;1,233,401;6,475,355
2022-06-14;14,460;40;4,553;65,638,640;14,500;14,500;14,360;1,240,263;6,511,379
2022-06-13;14,500;80;2,570;37,144,040;14,420;14,560;14,400;1,243,694;6,529,391
2022-06-10;14,420;20;552;7,949,640;14,480;14,480;14,400;1,236,832;6,493,367
2022-06-09;14,400;40;1,403;20,177,960;14,380;14,400;14,380;1,235,116;6,484,361
2022-06-08;14,360;0;2,562;36,805,420;14,440;14,440;14,360;1,231,685;6,466,349
2022-06-07;14,360;0;8,075;115,351,000;14,380;14,380;14,280;1,231,685;6,466,349
2022-06-03;14,360;20;475;6,801,940;14,360;14,360;14,300;1,231,685;6,466,349
2022-06-02;14,380;0;1,192;17,116,760;14,380;14,380;14,300;1,233,401;6,475,355
2022-06-01;14,380;60;7,000;100,175,740;14,360;14,400;14,280;1,233,401;6,475,355
2022-05-31;14,320;40;2,565;36,665,040;14,360;14,360;14,280;1,228,255;6,448,336
2022-05-30;14,280;20;956;13,642,700;14,260;14,280;14,240;1,224,824;6,430,324
2022-05-27;14,260;0;526;7,489,560;14,260;14,260;14,200;1,223,108;6,421,318
2022-05-26;14,260;60;1,500;21,322,240;14,280;14,280;14,120;1,223,108;6,421,318
2022-05-25;14,200;120;2,748;38,805,700;14,080;14,200;14,060;1,217,962;6,394,300
2022-05-24;14,080;20;3,794;53,345,280;14,060;14,080;14,060;1,207,669;6,340,264
2022-05-23;14,060;40;559;7,837,080;14,100;14,100;13,980;1,205,954;6,331,258
2022-05-20;14,100;100;4,942;69,344,340;14,000;14,100;14,000;1,209,385;6,349,270
2022-05-18;14,000;0;2,159;30,225,540;14,000;14,000;13,980;1,200,808;6,304,240
2022-05-17;14,000;20;5,312;74,286,680;13,960;14,000;13,960;1,200,808;6,304,240
2022-05-16;13,980;20;4,012;56,023,720;13,960;14,040;13,960;1,199,092;6,295,234
2022-05-13;13,960;0;1,149;16,019,540;13,960;13,960;13,940;1,197,377;6,286,227
2022-05-12;13,960;40;107;1,492,880;13,940;13,960;13,940;1,197,377;6,286,227
2022-05-11;14,000;40;343;4,787,500;14,020;14,020;13,940;1,200,808;6,304,240
2022-05-10;13,960;0;240;3,347,320;13,960;14,000;13,940;1,197,377;6,286,227
2022-05-09;13,960;60;2,238;31,276,060;14,000;14,040;13,920;1,197,377;6,286,227
2022-05-06;13,900;20;676;9,395,420;13,880;13,940;13,880;1,192,230;6,259,209
2022-05-05;13,880;0;1,791;24,857,720;13,880;13,880;13,860;1,190,515;6,250,203
2022-05-04;13,880;0;1,719;23,855,780;13,860;13,900;13,860;1,190,515;6,250,203
2022-05-03;13,880;0;356;4,942,040;13,880;13,980;13,860;1,190,515;6,250,203
2022-05-02;13,880;20;309;4,292,160;14,080;14,080;13,880;1,190,515;6,250,203
2022-04-29;13,860;40;246;3,416,900;13,900;13,900;13,860;1,188,799;6,241,197
2022-04-28;13,900;0;96;1,334,280;13,900;13,900;13,860;1,192,230;6,259,209
2022-04-27;13,900;60;647;9,006,320;13,900;13,960;13,900;1,192,230;6,259,209
2022-04-26;13,960;40;282;3,925,020;13,980;13,980;13,900;1,197,377;6,286,227
2022-04-25;14,000;120;1,233;17,222,940;13,860;14,040;13,800;1,200,808;6,304,240
2022-04-22;13,880;0;888;12,267,520;13,820;13,960;13,800;1,190,515;6,250,203
2022-04-21;13,880;0;1,323;18,286,560;14,000;14,000;13,800;1,190,515;6,250,203
2022-04-20;13,880;20;2,088;28,860,980;13,860;13,880;13,800;1,190,515;6,250,203
2022-04-19;13,860;120;964;13,402,700;14,160;14,160;13,860;1,188,799;6,241,197
